policy,name,family,core_weight,base_leverage,target_vol,state_strength,min_leverage,max_leverage,rebalance_days,no_trade_band,smooth_days,drawdown_guard,promotable,eligible,score,development_total_return,development_cagr,development_sharpe,development_sortino,development_max_drawdown,development_calmar,development_worst_rolling_365,development_final_equity,development_annual_meta_turnover,development_average_leverage,development_max_leverage,development_average_close_gross,development_max_close_gross,development_transfer_cost,development_financing_cost,development_extra_underlying_cost,development_risk_reductions,development_scheduled_rebalances,severe_development_total_return,severe_development_cagr,severe_development_sharpe,severe_development_sortino,severe_development_max_drawdown,severe_development_calmar,severe_development_worst_rolling_365,severe_development_final_equity,severe_development_annual_meta_turnover,severe_development_average_leverage,severe_development_max_leverage,severe_development_average_close_gross,severe_development_max_close_gross,severe_development_transfer_cost,severe_development_financing_cost,severe_development_extra_underlying_cost,severe_development_risk_reductions,severe_development_scheduled_rebalances,gate_promotable,gate_cagr_ge_45pct,gate_sharpe_ge_1_35,gate_max_dd_ge_minus25pct,gate_worst_rolling_365_ge_minus15pct,gate_2021_positive,gate_2022_ge_minus3pct,gate_2023_positive,gate_meta_turnover_le_5x,gate_average_leverage_le_1_65,gate_max_leverage_le_1_95,gate_severe_cagr_ge_30pct,gate_severe_dd_ge_minus32pct
statevol_core85_tv42_s40,statevol_core85_tv42_s40,state_vol,0.85,1.0,0.42,0.4,0.45,1.95,7,0.06,7,True,True,False,0.41168282979127824,1.1944937315925634,0.2995054788883813,1.394564089787365,2.3151430144242147,-0.2163389353931524,1.3844270720112886,-0.1584261966207724,21944.937315925636,6.515147725371368,1.0085233514978136,1.95,0.966806331153211,1.9094524503913874,381.17447027190747,578.5197785043301,0.0,27,31,0.9863929141054553,0.2570572363581698,1.348214112605683,2.299681454919347,-0.26981572281432387,0.9527140734310211,-0.17686424146679536,19863.929141054552,4.022213539015985,0.8154176239233931,1.9499988893799174,0.783428274320393,1.9145294473737458,548.4736543041449,409.5604440104442,1874.8229742753629,22,20,True,False,True,True,False,True,True,True,False,True,True,False,True
statevol_core90_tv42_s40,statevol_core90_tv42_s40,state_vol,0.9,1.0,0.42,0.4,0.45,1.95,7,0.06,7,True,True,False,0.4063529533851354,1.1821741500248941,0.29706916667506955,1.4305144318430776,2.429492850989422,-0.24084682950720737,1.233436069234948,-0.15702163617867693,21821.74150024894,5.935882999537391,0.8661667423876382,1.9499941783146413,0.8280830066597571,1.9047647710918232,351.04733439419334,305.137470129649,0.0,30,27,1.018087575550768,0.2637078100451793,1.3289672413292748,2.2612529343982746,-0.2724888276782239,0.9677747608668421,-0.17042214706808012,20180.875755507677,3.5609170191433197,0.8056974846436449,1.949992237752855,0.7804923726195657,1.9072723216808174,483.38571468947526,410.1080236439071,1900.564050226053,25,20,True,False,True,True,False,True,True,True,False,True,True,False,True
statevol_core100_tv42_s40,statevol_core100_tv42_s40,state_vol,1.0,1.0,0.42,0.4,0.45,1.95,7,0.06,7,True,True,False,0.40308709005777515,1.1749102110835974,0.2956283551567338,1.389714532595035,2.3551910691510116,-0.253956254347107,1.164091650023588,-0.1634868891852309,21749.102110835975,4.054945741440019,0.7771802315476678,1.9496394432784598,0.7420374516969649,1.9156945182753167,225.67984290797966,203.96893740550206,0.0,27,25,0.9680351142661936,0.253172764416026,1.2502893734918958,2.1125909398353913,-0.28658604887029415,0.8834092427528087,-0.174026360263418,19680.351142661937,3.4035793479637113,0.7537014517812723,1.9495192577046132,0.726170969717905,1.9200591738614254,433.2733387323663,321.4084934913143,1718.7025002302157,25,20,True,False,True,False,False,True,True,True,True,True,True,False,True
statevol_core85_tv38_s25,statevol_core85_tv38_s25,state_vol,0.85,1.0,0.38,0.25,0.45,1.9,7,0.06,7,True,True,False,0.4008198468912106,1.1249540389171924,0.28563152633004774,1.385866256336652,2.3003823515447155,-0.2144884658613535,1.3316871151229246,-0.15647242332761735,21249.540389171925,5.487179262043109,0.9732886255835895,1.8999999999999995,0.9336137526542865,1.9026102050199971,309.6912949322878,457.7413004796283,0.0,27,27,0.8779263432762643,0.23374721332691895,1.2798119770753076,2.15205608045408,-0.26510567251361783,0.8817133602258621,-0.17423932721460067,18779.263432762644,3.8918045407523123,0.7873057551658222,1.899923864722831,0.7652961507094109,1.8418328444274514,507.7484066959878,352.6999918406228,1752.0985404194162,24,19,True,False,True,True,False,True,True,True,False,True,True,False,True
statevol_core90_tv40_s40,statevol_core90_tv40_s40,state_vol,0.9,1.0,0.4,0.4,0.45,1.95,7,0.06,7,True,True,False,0.39789968633105977,1.1497452472574072,0.2906119019304776,1.415575359710922,2.3963587812469225,-0.24205389859960658,1.2006082265635938,-0.1562656637779578,21497.452472574074,5.851646866860779,0.8539059568534815,1.949953344278357,0.8082781498579432,1.8987650340906355,343.08537493277066,278.22806911711,0.0,30,28,0.9855797987390098,0.2568856905632202,1.30848170895345,2.219805989288963,-0.2733094147304359,0.9399079457858619,-0.1719991195657644,19855.7979873901,3.5561399676143934,0.8007239747639743,1.9499377923711427,0.7782189288884382,1.8992055177669913,478.93212781783626,403.0365009770002,1870.1992442995527,25,19,True,False,True,True,False,True,True,True,False,True,True,False,True
statevol_core90_tv38_s25,statevol_core90_tv38_s25,state_vol,0.9,1.0,0.38,0.25,0.45,1.9,7,0.06,7,True,True,False,0.3931345101198867,1.098823858574654,0.2803400501506286,1.3515984003579808,2.2439617434616013,-0.21973648436661386,1.275801107670869,-0.1650311156387788,20988.238585746538,4.977803053216799,0.9398219508938989,1.8999999999999995,0.901329695395088,1.9028710136217923,284.68579755050206,433.89706190987476,0.0,28,26,0.912564450814364,0.24128648368352956,1.3032049214461756,2.2008194440118554,-0.2662234666994422,0.906330635217572,-0.16990021284106638,19125.64450814364,3.4086464477604,0.7415845344289803,1.898788173101594,0.7148647556540426,2.0092022471898043,442.7388528941284,286.10718638900096,1652.4320412596207,24,20,True,False,True,True,False,True,True,True,True,True,True,False,True
statevol_core85_tv36_s25,statevol_core85_tv36_s25,state_vol,0.85,1.0,0.36,0.25,0.45,1.85,7,0.06,7,True,True,False,0.39212007073593996,1.083406323489545,0.2771973026271164,1.3771468399781088,2.2760952938456187,-0.21195464187569768,1.307814257682928,-0.15342647514056984,20834.06323489545,5.422706634531191,0.9427499927354972,1.8499999999999992,0.9036775310205972,1.8153325086276793,299.6117591492614,365.4438966115756,0.0,28,28,0.8437688521910951,0.22622121218930502,1.2695640633775307,2.1349045509081437,-0.2614105361526603,0.8653867419375737,-0.1740901662473191,18437.68852191095,3.9984847002423094,0.7660467189673469,1.8497629334348638,0.7473830355285335,1.8133021318696192,515.5385749160292,304.2384093316263,1686.71724392067,26,20,True,False,True,True,False,True,True,True,False,True,True,False,True
statevol_core100_tv40_s40,statevol_core100_tv40_s40,state_vol,1.0,1.0,0.4,0.4,0.45,1.95,7,0.06,7,True,True,False,0.3891485433283622,1.123660298289463,0.2853705620341558,1.3664573699081448,2.3121778165020492,-0.25685278889153684,1.1110276951466598,-0.16203034938164484,21236.60298289463,4.035904012758083,0.76614209697477,1.943493965317449,0.7334183928063278,1.8794361658952576,222.0115835675365,189.07940231273267,0.0,27,24,0.916087619096996,0.2420482146251819,1.2134123768993776,2.011754100299051,-0.2896674728917987,0.8356071608896027,-0.1741463281897918,19160.87619096996,3.245752710607512,0.7361147760617914,1.9429848608676712,0.7142815284659598,2.062755454089525,401.36600836187057,300.0602370274374,1655.5000232929424,25,20,True,False,True,False,False,True,True,True,True,True,True,False,True
statevol_core90_tv38_s25_r14,statevol_core90_tv38_s25_r14,state_vol,0.9,1.0,0.38,0.25,0.45,1.9,14,0.08,14,True,True,False,0.38116423597995874,1.0427071960482945,0.2688259130877415,1.3435858755610042,2.2202098048599628,-0.21517142881138718,1.249356917750387,-0.1712454208202393,20427.071960482946,5.010065177811772,0.9406699835955366,1.8999999999969583,0.8716202776423155,1.947563052509255,280.83570000001544,358.10659864934615,0.0,27,20,0.8565872265604664,0.2290563248003601,1.2611310412635357,2.0950771682123692,-0.2704811331430883,0.8468476974295508,-0.16828578016905216,18565.872265604663,3.339646537430877,0.7586688714811427,1.8909159776039473,0.7176124242768459,1.950488389173154,426.97676742005103,254.2465088976415,1622.5105475892192,20,15,True,False,False,True,False,True,True,True,False,True,True,False,True
statevol_core90_tv36_s25,statevol_core90_tv36_s25,state_vol,0.9,1.0,0.36,0.25,0.45,1.85,7,0.06,7,True,True,False,0.3770689186148893,1.0342921659241844,0.2670811853547914,1.3273262019914454,2.196413589890412,-0.21674219560368269,1.2322528366518652,-0.1604884482647979,20342.921659241845,5.189293605409943,0.9069818077842022,1.8499999999999992,0.8747403867057273,1.7752166629896382,289.26977134640345,361.46480867172755,0.0,31,27,0.869794301036841,0.23196379206710382,1.2552067860423004,2.0905313231815468,-0.26170376306548626,0.8863601705607091,-0.16803361119206905,18697.94301036841,3.5631691157538476,0.7479014604501485,1.8447933187460215,0.7185331240952114,1.912126798178724,458.91681519285225,292.9937505584205,1643.422511637384,29,20,True,False,False,True,False,True,True,True,False,True,True,False,True
statevol_core85_tv34_s0,statevol_core85_tv34_s0,vol,0.85,1.0,0.34,0.0,0.45,1.75,7,0.06,7,True,True,False,0.3553552895029456,0.938579062308692,0.2468891310438206,1.3120034348594007,2.1454886610403427,-0.2068487113900599,1.1935734546504158,-0.15049908686793878,19385.79062308692,5.248023754110894,0.9152049919937182,1.7499999999999996,0.8782434063560658,1.75200298822062,273.0565905579364,232.57591278917042,0.0,30,30,0.7288012807291504,0.2001854529881142,1.1968992176498037,1.9775687558133406,-0.25122594997703307,0.7968342960049112,-0.1654367034627443,17288.012807291503,3.615880755470864,0.739994193554101,1.6964778847514514,0.7124463596082241,1.7403183821715136,439.0189464331976,189.47563979964886,1524.6657387191608,25,22,True,False,False,True,False,True,True,True,False,True,True,False,True
statevol_core100_tv38_s25,statevol_core100_tv38_s25,state_vol,1.0,1.0,0.38,0.25,0.45,1.9,7,0.06,7,True,True,False,0.3533995766476662,0.99600429976428,0.2590814460394919,1.2799434923510622,2.12530296872939,-0.2504466218845012,1.0344777026338685,-0.15946529076861393,19960.0429976428,4.8061358129345075,0.7766201998149196,1.7783678162624763,0.7418635193963874,1.7004354183873123,257.8468808273983,178.5671316844473,0.0,33,25,0.8098858303971741,0.2186632834041995,1.1560075791078444,1.921696561952083,-0.289751423086836,0.7546581862297463,-0.17320625910579313,18098.85830397174,3.3951161352181676,0.7138191096856775,1.7783678162624763,0.6952056212144471,1.829090057153624,410.80742373153663,229.7975586780114,1535.1901003745297,30,22,True,False,False,False,False,True,True,True,True,True,True,False,True
statevol_core90_tv34_s0,statevol_core90_tv34_s0,vol,0.9,1.0,0.34,0.0,0.45,1.75,7,0.06,7,True,True,False,0.3386775695928803,0.8835969892815636,0.2349877862236429,1.2601068744041064,2.0648011715340546,-0.21073977042164516,1.1150614131992393,-0.15396996288382714,18835.969892815636,5.164696338991891,0.8598324949620587,1.7499999999999996,0.8254161190870934,1.6433460164689047,269.32143129251284,204.3680151528979,0.0,31,30,0.7215407683397941,0.19850294060703932,1.1645011668365521,1.9282795370167714,-0.2587377449722805,0.7671974594518695,-0.171398643761285,17215.40768339794,3.872107068594275,0.7143935458078674,1.6036920440386573,0.6932754310258671,1.6425751407559195,473.3637128462947,163.6414813713716,1480.6485901521746,27,23,True,False,False,True,False,True,True,True,False,True,True,False,True
statevol_core100_tv36_s25,statevol_core100_tv36_s25,state_vol,1.0,1.0,0.36,0.25,0.45,1.85,7,0.06,7,True,True,False,0.3347592885317501,0.9342595907695987,0.24596235132119415,1.245978015530106,2.063821930908883,-0.25201459195796505,0.9759845626804801,-0.15593635699072483,19342.595907695988,5.0062438605969515,0.7668208117426774,1.6847695101434288,0.7360704276653005,1.6111893538867401,265.582725852272,166.77898198509467,0.0,34,28,0.7536617936447749,0.20591106496014477,1.0997238191398249,1.8036124559756348,-0.28805326122304464,0.7148367773580049,-0.17315845107612837,17536.61793644775,4.090194000656666,0.720797945662473,1.6847695101434288,0.6960917998238155,1.7219460132997686,498.95225163668465,228.3201200255419,1511.3634248722483,36,24,True,False,False,False,False,True,True,True,False,True,True,False,True
statevol_core100_tv34_s0,statevol_core100_tv34_s0,vol,1.0,1.0,0.34,0.0,0.45,1.75,7,0.06,7,True,True,False,0.2993693772280425,0.7879524594660055,0.2137204115073641,1.171660854470637,1.9196123475036537,-0.24304109412761177,0.8793591564196445,-0.15482704151469495,17879.524594660055,4.890713703815089,0.7188859067848312,1.44148019169345,0.6891272037249533,1.471697518119409,242.7075773163737,84.44411203261747,0.0,33,28,0.6392948586190323,0.17910466858369367,1.0345654428181972,1.6907585316429146,-0.2707422411021585,0.6615320455891202,-0.16850781052477826,16392.948586190323,3.8097660395136526,0.6897673342739111,1.44148019169345,0.6642747776535427,1.4706532310101286,440.12809990083855,117.08815977902546,1361.9421198467267,29,24,True,False,False,True,False,True,True,True,True,True,True,False,True
