asset,direction,signal_time,entry_time,exit_time,entry_binance,entry_okx,exit_binance,exit_okx,entry_z,entry_spread_bps,exit_reason,holding_hours,pnl_before_exit_cost,entry_cost,exit_cost,funding_buffer_cost,forced_cost,equity_after,component
ETH,1,2021-02-23 14:00:00+00:00,2021-02-23 15:00:00+00:00,2021-02-23 16:00:00+00:00,1520.01,1553.44,1574.4,1572.9,30.7136596035006,221.15338161543448,convergence,1,58.97186327868893,4.058921154211692,4.080886331061482,5.071621982187509,0.0,10193.063319340456,basis_l168_z5_s60_h4_c1
DOGE,-1,2021-04-14 00:00:00+00:00,2021-04-14 01:00:00+00:00,2021-04-14 04:00:00+00:00,0.105416,0.104865,0.111832,0.111799,-7.033690171709587,-60.88588470855288,convergence,3,13.3972039928519,4.0772253277361825,4.080953319202229,5.09449304700636,0.0,10193.207851639363,basis_l168_z5_s60_h4_c1
DOGE,-1,2021-04-16 11:00:00+00:00,2021-04-16 12:00:00+00:00,2021-04-16 16:00:00+00:00,0.303519,0.300137,0.37108,0.371074,-9.851139554029542,-107.12187813683371,max_hold,4,35.041461153503974,4.077283140655745,4.089668811860885,5.094565284249354,0.0,10214.9877955561,basis_l168_z5_s60_h4_c1
SOL,-1,2021-05-16 16:00:00+00:00,2021-05-16 17:00:00+00:00,2021-05-16 21:00:00+00:00,46.775,46.425,43.179,43.114,-9.579715361754815,-84.32531112648026,max_hold,4,14.191474445617303,4.08599511822244,4.090037309953398,5.105450900218939,0.0,10215.897786673322,basis_l168_z5_s60_h4_c1
BTC,1,2021-05-19 13:00:00+00:00,2021-05-19 14:00:00+00:00,2021-05-19 18:00:00+00:00,35649.99,35869.9,39372.55,39385.6,13.157979504231102,63.194013954517516,max_hold,4,16.357087746669265,4.086359114669329,4.091267406122129,5.105905713779326,0.0,10218.971342185421,basis_l168_z5_s60_h4_c1
XRP,1,2021-08-12 10:00:00+00:00,2021-08-12 11:00:00+00:00,2021-08-12 14:00:00+00:00,1.0052,1.01178,0.9718,0.97112,14.859951853301368,65.64813691890308,convergence,3,17.77232302134054,4.0875885368741685,4.093062430667955,5.107441876824273,0.0,10223.455572362396,basis_l168_z5_s60_h4_c1
DOGE,1,2021-09-07 14:00:00+00:00,2021-09-07 15:00:00+00:00,2021-09-07 18:00:00+00:00,0.23307,0.238278,0.24914,0.249056,57.24309946123447,200.09994020776267,convergence,3,60.5915507620425,4.089382228944959,4.111983096358197,5.109683095066726,0.0,10270.73607470407,basis_l168_z5_s60_h4_c1
SOL,1,2021-11-26 10:00:00+00:00,2021-11-26 11:00:00+00:00,2021-11-26 12:00:00+00:00,186.585,188.175,185.272,185.203,22.22566143842347,92.39764431362455,convergence,1,22.475705880193786,4.108294429881628,4.115641394461752,5.133313890137094,0.0,10279.854530869783,basis_l168_z5_s60_h4_c1
ETH,-1,2022-05-28 16:00:00+00:00,2022-05-28 17:00:00+00:00,2022-05-28 18:00:00+00:00,1793.84,1773.76,1775.75,1776.87,-55.072509734024656,-113.07727192793887,convergence,1,30.41067223677658,4.111941812347913,4.122461304517685,5.137871294528718,0.0,10296.892928695166,basis_l168_z5_s60_h4_c1
ETH,1,2022-06-01 16:00:00+00:00,2022-06-01 17:00:00+00:00,2022-06-01 21:00:00+00:00,1856.67,1867.98,1791.91,1792.31,26.466343972038054,60.73105120151231,max_hold,4,14.485404238519138,4.118757171478067,4.1229038303048835,5.146387085761845,0.0,10297.99028484614,basis_l168_z5_s60_h4_c1
SOL,1,2022-11-09 00:00:00+00:00,2022-11-09 01:00:00+00:00,2022-11-09 05:00:00+00:00,22.58,22.83,20.85,21.14,21.920851965742106,105.68130061792249,max_hold,4,-6.668034079645253,4.1191961139384565,4.1148812218610225,5.146935544366101,0.0,10277.941237886329,basis_l168_z5_s60_h4_c1
SOL,1,2022-11-09 05:00:00+00:00,2022-11-09 06:00:00+00:00,2022-11-09 10:00:00+00:00,19.29,19.65,15.07,15.35,39.07598189369223,185.0001374392021,max_hold,4,0.1626255752715906,4.111176495154532,4.109597074786579,5.136915030695587,0.0,10264.746174860962,basis_l168_z5_s60_h4_c1
SOL,1,2022-11-09 10:00:00+00:00,2022-11-09 11:00:00+00:00,2022-11-09 18:00:00+00:00,15.49,15.89,11.513,11.79,55.62482878190682,261.4111238704353,missing_price,7,3.2773164396820675,4.1058984699443855,4.10556703713228,5.130320138195509,5.13195879641535,10249.549746858956,basis_l168_z5_s60_h4_c1
ETH,1,2022-11-10 09:00:00+00:00,2022-11-10 10:00:00+00:00,2022-11-10 11:00:00+00:00,1197.62,1212.74,1180.35,1180.93,68.24579820056601,125.46008336024187,convergence,1,30.24864790726741,4.099819898743583,4.110279429946992,5.122724963480106,0.0,10266.465570474053,basis_l168_z5_s60_h4_c1
DOGE,1,2022-12-18 09:00:00+00:00,2022-12-18 10:00:00+00:00,2022-12-18 14:00:00+00:00,0.07777,0.07906,0.07785,0.07906,61.6480152294198,163.2272914093818,max_hold,4,2.6391562258571284,4.106586228189621,4.105999256188688,5.131179492122931,0.0,10255.760961723408,basis_l168_z5_s60_h4_c1
DOGE,1,2022-12-18 14:00:00+00:00,2022-12-18 15:00:00+00:00,2022-12-18 19:00:00+00:00,0.07775,0.07906,0.07838,0.07843,62.57209612820402,167.08506809196024,max_hold,4,41.189947894842305,4.102304384689363,4.117139442093425,5.12582932866936,0.0,10283.605636462798,basis_l168_z5_s60_h4_c1
SOL,1,2023-01-04 15:00:00+00:00,2023-01-04 16:00:00+00:00,2023-01-04 17:00:00+00:00,13.352,13.455,13.413,13.424,9.801747404887742,76.84597819335204,convergence,1,17.66165855670866,4.113442254585119,4.118861541105969,5.139746097104107,0.0,10287.89524512671,basis_l168_z5_s60_h4_c1
