policy,lookback_hours,entry_abs_z,entry_abs_spread_bps,max_hold_hours,stability_bars,eligible_before_final,all_prefinal_years_positive,score,prefinal_total_return,prefinal_cagr,prefinal_max_drawdown,prefinal_sharpe,prefinal_annual_turnover,prefinal_average_gross,prefinal_max_gross,prefinal_costs,prefinal_trade_count,prefinal_liquidations,prefinal_min_margin_buffer,prefinal_observations_per_year
basis_l168_z4_s45_h1_c1,168,4.0,45.0,1,1,False,False,-0.023046886156795517,-0.006578264234709752,-0.0013193119555600097,-0.014531666329793191,-0.19092139483367496,10.001391963124387,0.0006389193136181087,0.5,647.9490999763364,50,0,0.5,8765.82
basis_l672_z3_s30_h4_c1,672,3.0,30.0,4,1,False,False,-0.024003323067265922,-0.00622787927502344,-0.0012488641234966735,-0.011959522889807284,-0.2194743733692346,8.001113570499509,0.0015060240963855422,0.5,523.0348088762828,40,0,0.5,8765.82
basis_l168_z4_s30_h4_c2,168,4.0,30.0,4,2,False,False,-0.02515780815420057,-0.005679107453134602,-0.0011385688708203112,-0.013865301800925045,-0.2566552098878954,4.200584624512243,0.0009355604235122307,0.5,273.3780047885542,21,0,0.5,8765.82
basis_l168_z3_s60_h2_c2,168,3.0,60.0,2,2,False,False,-0.02557928291326848,-0.005059478306186804,-0.0010140908321579767,-0.007617467227067465,-0.28004063104457927,2.8003897496748285,0.00037650602409638556,0.5,186.33090483249669,14,0,0.5,8765.82
basis_l336_z3_s60_h2_c2,336,3.0,60.0,2,2,False,False,-0.02557928291326848,-0.005059478306186804,-0.0010140908321579767,-0.007617467227067465,-0.28004063104457927,2.8003897496748285,0.00037650602409638556,0.5,186.33090483249669,14,0,0.5,8765.82
basis_l336_z4_s60_h2_c2,336,4.0,60.0,2,2,False,False,-0.02557928291326848,-0.005059478306186804,-0.0010140908321579767,-0.007617467227067465,-0.28004063104457927,2.8003897496748285,0.00037650602409638556,0.5,186.33090483249669,14,0,0.5,8765.82
basis_l336_z5_s30_h2_c1,336,5.0,30.0,2,1,False,False,-0.027311181601112542,-0.00848350918339058,-0.0017027256911601452,-0.028818022713776648,-0.21157307874953235,11.601614677224289,0.00130065717415115,0.5,757.4914644142423,58,0,0.5,8765.82
basis_l168_z3_s30_h4_c1,168,3.0,30.0,4,1,False,False,-0.02857432719593836,-0.009158224913053181,-0.001838647599471055,-0.02088684616439307,-0.18932090768824789,19.002644729936335,0.0034570098576122673,0.5,1238.1381934931105,95,0,0.5,8765.82
basis_l672_z3_s45_h4_c2,672,3.0,45.0,4,2,False,False,-0.030387197259645535,-0.00447806959825825,-0.0008973473261681963,-0.007944200046360095,-0.35244200413356386,1.0001391963124386,0.00022818546914932458,0.5,64.78625203861611,5,0,0.5,8765.82
basis_l672_z3_s60_h4_c2,672,3.0,60.0,4,2,False,False,-0.030387197259645535,-0.00447806959825825,-0.0008973473261681963,-0.007944200046360095,-0.35244200413356386,1.0001391963124386,0.00022818546914932458,0.5,64.78625203861611,5,0,0.5,8765.82
