policy,family,flow_threshold,pressure_threshold,volume_threshold,max_impact_bps,depth_threshold,persistence,hold_minutes,eligible_development,preliminary_gate,btc_development_return,eth_development_return,score,development_total_return,development_cagr,development_max_drawdown,development_sharpe,development_annual_turnover,development_average_gross,development_max_gross,development_costs,development_trade_count,development_unexplained_events
absorption_reversal_f2_p1_v0_i3_d0_n1_h1,absorption_reversal,2.0,1.0,0.0,3.0,0.0,1,1,False,False,,,-1.2278782878786019,-0.2813964843410992,-0.19799878163511087,-0.2814047561409011,-19.19665818474622,419.0612139208993,0.0003983856367885903,0.2,2666.230786838598,1569,0
agreement_continuation_f2_p1.5_v0_i0_d0_n1_h12,agreement_continuation,2.0,1.5,0.0,0.0,0.0,1,12,False,False,,,-1.2342794011067928,-0.5566332235961432,-0.4190528732345994,-0.5567355839832232,-12.944314372586021,1123.3725084456994,0.012815372759715572,0.2,5855.7669968118735,4206,0
reversed_agreement_control_f2_p1.5_v0_i0_d0_n1_h12,reversed_agreement_control,2.0,1.5,0.0,0.0,0.0,1,12,False,False,,,-1.3119626116973255,-0.5814731007209812,-0.44099325643298737,-0.5814985439357772,-14.00964500052381,1123.3725084456994,0.012815372759715572,0.2,5523.797524836804,4206,0
absorption_reversal_f2_p0.5_v0_i3_d0_n1_h3,absorption_reversal,2.0,0.5,0.0,3.0,0.0,1,3,False,False,,,-1.3984979696232842,-0.43189929873167976,-0.3144725923609156,-0.43189929873167976,-19.39580030657357,710.4543206052211,0.0020262061068023903,0.2,4059.5995208994664,2660,0
absorption_reversal_f2_p1_v0_i6_d0_n1_h3,absorption_reversal,2.0,1.0,0.0,6.0,0.0,1,3,False,False,,,-1.4246892376612437,-0.47984949245438413,-0.35367104938337857,-0.47984949245438413,-18.81700467200021,821.83005432416,0.0023438481919665246,0.2,4525.092170214135,3077,0
absorption_reversal_f1.5_p1_v0_i3_d0_n1_h3,absorption_reversal,1.5,1.0,0.0,3.0,0.0,1,3,False,False,,,-1.4577025669188954,-0.45595360713221966,-0.33399304131276575,-0.45595360713221966,-20.013172373230226,774.5554623139628,0.0022090216953860645,0.2,4347.796789767715,2900,0
agreement_continuation_f2_p1.5_v0_i0_d0_n1_h3,agreement_continuation,2.0,1.5,0.0,0.0,0.0,1,3,False,False,,,-1.5116396689546185,-0.5885537252194062,-0.44732594285626137,-0.5886239423692549,-17.501178522044658,1303.9240575919885,0.0037187737644395753,0.2,6499.206332550027,4882,0
absorption_reversal_f2_p0.5_v0_i3_d0_n1_h1,absorption_reversal,2.0,0.5,0.0,3.0,0.0,1,1,False,False,,,-1.53807569816836,-0.4328249041873675,-0.31521859019045306,-0.4328314329041675,-22.14546437203677,723.0074608565162,0.0006873358309666755,0.2,4119.53293514743,2707,0
absorption_reversal_f1.5_p0.5_v0_i3_d0_n1_h12,absorption_reversal,1.5,0.5,0.0,3.0,0.0,1,12,False,False,,,-1.5934534545339114,-0.611975286052177,-0.4685369235207182,-0.612117035038165,-18.811010180029132,1231.543185079201,0.014049377982655372,0.2,5900.4941466847395,4611,0
absorption_reversal_f1.5_p1_v0_i3_d0_n1_h1,absorption_reversal,1.5,1.0,0.0,3.0,0.0,1,1,False,False,,,-1.5957058193383604,-0.4611487376658533,-0.33824633346192967,-0.46115494034879023,-22.643581636625115,791.6491001029607,0.0007525908396694593,0.2,4412.244792229033,2964,0
