symbol,month,expected_minutes,joined_minutes,complete_minutes,coverage,full_month,depth_raw_rows,mark_raw_rows,depth_archive_count,mark_archive_count,dataset,archive_count
BTCUSD_PERP,2024-12,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-01,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-02,40320,,40320,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-03,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-04,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-05,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-06,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-07,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-08,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-09,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-10,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-11,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2025-12,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2026-01,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2026-02,40320,,40320,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2026-03,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2026-04,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2026-05,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
BTCUSD_PERP,2026-06,43200,,41760,0.9666666666666667,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-01,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-02,40320,,40320,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-03,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-04,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-05,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-06,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-07,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-08,44640,,38880,0.8709677419354839,False,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-09,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-10,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-11,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2023-12,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-01,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-02,41760,,41760,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-03,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-04,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-05,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-06,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-07,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-08,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-09,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-10,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-11,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2024-12,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-01,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-02,40320,,40320,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-03,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-04,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-05,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-06,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-07,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
