name,family,threshold,budget,hold_days,band,prefinal_cagr,prefinal_total_return,prefinal_max_drawdown,prefinal_sharpe,annual_turnover,liquidations,min_margin_buffer,validation_2011_2014_return,validation_2015_2018_return,bridge_2019_2020_return,gate_prefinal_cagr,gate_prefinal_sharpe,gate_prefinal_drawdown,gate_turnover,gate_validation_2011_2014,gate_validation_2015_2018,gate_bridge_2019_2020,gate_no_liquidations,gate_positive_margin,eligible_before_stress,stress_prefinal_cagr,stress_prefinal_max_drawdown,stress_liquidations,stress_min_margin_buffer,gate_stress_prefinal_cagr,gate_stress_prefinal_drawdown,gate_stress_no_liquidations,gate_stress_positive_margin,eligible_before_2021,score
tail_t90_b15_h7,tail_long,0.9,0.15,7,0.0,0.024142520989369087,0.42998391552130744,-0.15100450245855201,0.34750112953641465,1.967340814256337,0,0.8161417322834645,0.11801249207665676,0.023609205197699712,0.07984168047130713,True,False,False,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.30061051214331347
tail_t80_b05_h3,tail_long,0.8,0.05,3,0.0,0.004945132180679934,0.07676217892047865,-0.0634496218750158,0.2001043857435503,0.8865820611952214,0,0.8720472440944882,0.011975816875742451,0.03250509755468789,-0.0082863027328679,False,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.16940401855545006
tail_t80_b10_h3,tail_long,0.8,0.1,3,0.0,0.009291288571411815,0.14873239159200913,-0.12318158160765846,0.2011731802788139,1.7654910800262469,0,0.8440944881889764,0.022772524106229097,0.0616535397083291,-0.018025950564498627,False,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.14051005581754583
spot_spike_t30_b05_h3,spot_spike_long,0.3,0.05,3,0.0,0.0035633901909282173,0.05477783208747877,-0.061575260273140864,0.15953623525273095,0.5876621453204327,0,0.8720472440944882,0.002248176918206557,0.002004750682195411,0.0421523866529836,False,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.12999876404481261
tail_t80_b15_h3,tail_long,0.8,0.15,3,0.0,0.013045508787522975,0.21448927655969796,-0.1794394906782495,0.20216906731935058,2.6368872222100324,0,0.8161417322834645,0.03235632931225241,0.08731044945615052,-0.029157817882807024,False,False,False,True,True,True,False,True,True,False,,,,,False,False,False,False,False,0.11217146733317146
spot_spike_t30_b10_h3,spot_spike_long,0.3,0.1,3,0.0,0.006639586095983141,0.1043057195568986,-0.12105239271742085,0.16082074886288691,1.1704233602489034,0,0.8440944881889764,0.003573755280747992,0.00027914561301845,0.08440918492386107,False,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.10186949109365373
spot_spike_t30_b15_h3,spot_spike_long,0.3,0.15,3,0.0,0.00923878129966238,0.1478367260611264,-0.17833897759471729,0.16202856925961584,1.7484263361704133,0,0.8161417322834646,0.003976608931358205,-0.004969904147316906,0.12667016707388412,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,0.07385237969987782
tail_t80_b05_h7,tail_long,0.8,0.05,7,0.0,0.0028303894475298907,0.043286119036654025,-0.08109259903187405,0.1159425712708319,0.9015761380993608,0,0.8720472440944882,0.007907901306648757,0.01022158242376392,-0.008787647932691822,False,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.07204128926896106
tail_t90_b05_h14,tail_long,0.9,0.05,14,0.0,0.0022411737124086173,0.03413344467878732,-0.08552993906542206,0.08989257878285777,0.6462082267198087,0,0.8720472440944882,0.02136207445085825,-0.004161890730980056,0.027508609110515225,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,0.04514787440776588
tail_t80_b10_h7,tail_long,0.8,0.1,7,0.0,0.004997414881535489,0.07760236537350362,-0.15610199127558133,0.1172713389973483,1.7932415047658452,0,0.8440944881889763,0.014475486054067899,0.016065844813855312,-0.01926837658184366,False,False,False,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.03128275807497018
spot_spike_t20_b05_h3,spot_spike_long,0.2,0.05,3,0.0,0.001993187379670358,0.030303764054897542,-0.10950509809502496,0.08933180703966914,0.947286211587242,0,0.8720472440944881,-0.02979360203614123,-0.001890649117297638,0.03539831073641797,False,False,True,True,False,False,True,True,True,False,,,,,False,False,False,False,False,0.02909277063562496
backwardation_t00_b05_h3,backwardation_long,0.0,0.05,3,0.0,0.0013251290560996054,0.02005262079980774,-0.07330225993869388,0.05875952956578747,0.7247450155462882,0,0.8720472440944881,0.03422010871350145,0.008412398634610518,-0.010712597671314383,False,False,True,True,True,True,True,True,True,False,,,,,False,False,False,False,False,0.01751120755317686
