date,equity,daily_return,gross,net,turnover,trading_cost,forced_cost,overnight_pnl,intraday_pnl,min_margin_buffer,liquidated_notional
2021-02-12,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-02-16,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-02-17,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-02-18,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-02-19,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-02-22,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-02-23,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-02-24,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-02-25,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-02-26,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-01,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-02,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-03,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-04,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-05,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-08,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-09,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-10,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-11,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-12,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-15,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-16,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-17,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-18,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-19,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-22,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-23,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-24,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-25,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-26,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-29,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-30,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-03-31,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-01,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-05,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-06,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-07,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-08,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-09,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-12,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-13,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-14,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-15,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-16,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-19,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-20,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-21,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-22,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-23,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-26,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-27,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-28,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-29,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-04-30,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-03,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-04,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-05,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-06,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-07,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-10,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-11,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-12,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-13,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-14,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-17,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-18,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-19,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-20,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-21,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-24,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-25,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-26,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-27,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-05-28,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-01,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-02,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-03,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-04,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-07,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-08,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-09,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-10,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-11,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-14,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-15,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-16,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-17,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-18,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-21,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-22,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-23,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-24,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-25,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-28,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-29,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-06-30,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2021-07-01,15629.761303132984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
