audit,period,total_return,annualized_return,max_drawdown,sharpe,annual_turnover,average_gross,max_gross,costs,liquidations,min_margin_buffer,observations_per_year
stress,holdout_2021_2023,-0.07258737341330057,-0.024957358451372147,-0.09466958298557437,-0.548690229890187,0.79514314257669,0.013864874127319763,0.14660953373103625,136.25698565829327,0,0.8225242718446603,252.55059917355373
stress,holdout_2024_2025,-0.0837896723332594,-0.04289654748764948,-0.13838368561026215,-0.5463235987384495,1.765185437908097,0.025730484294407396,0.16622906639405982,182.88674021948742,0,0.8105059903135355,252.0123148148148
stress,final_2026h1,-0.04751601501432767,-0.09455947723821401,-0.04751601501432767,-2.7534850389739627,1.142091550862149,0.012851408182653939,0.13036760499271305,27.922714320835972,0,0.8255390143737166,250.97668994413408
stress,full,0.2239062087472834,0.009117237044831139,-0.22467317335461412,0.18519865865293383,1.0306461752136264,0.01563091676998138,0.22714065971628786,1106.0938287433405,0,0.8061811023622047,247.10355337596852
severe,development_2006_2010,0.016469191533511562,0.003278127536417763,-0.13471366349169178,0.08797535013263875,1.5565576435902548,0.023743637783752387,0.14293522820442744,907.8205989778035,0,0.7816785714285716,252.24372325836532
severe,validation_2011_2014,-0.14823913966525792,-0.039397011189411635,-0.20924455007429033,-0.530093192063979,0.6628945656993616,0.010638814574858865,0.1423841059602649,300.685172091235,0,0.7894830028328613,226.46037037037036
severe,validation_2015_2018,-0.01210259040791084,-0.0030435749471303675,-0.12731429078992074,0.003744593379838796,1.1184614846080305,0.016393343082655564,0.22714065971628783,440.64246566519336,0,0.772244094488189,252.34026045236465
severe,bridge_2019_2020,0.12172133467707225,0.059237380937926964,-0.047393239734506265,1.0106912381033757,0.4623711787771661,0.006316832995646736,0.16116504854368932,100.45099252767113,0,0.7829896907216495,253.01435185185184
severe,holdout_2021_2023,-0.041949669760365405,-0.014270434862931336,-0.07598900412117371,-0.30497066091677816,0.8113143485781836,0.013925935419620478,0.14660953373103625,267.9363312630585,0,0.7892649903288201,252.55059917355373
severe,holdout_2024_2025,-0.20223520568426645,-0.10702872014712173,-0.20380951051694285,-1.7478015295413358,1.7230574344952987,0.02554272825350248,0.15282478388082957,323.8178466970527,0,0.7762362987509559,252.0123148148148
severe,final_2026h1,-0.04794397924274163,-0.09538939768523014,-0.05144983460786878,-2.577844895266631,1.1044134325715476,0.012844660138911994,0.13036760499271305,45.163072987031015,0,0.790112936344969,250.97668994413408
severe,full,-0.3145268983013839,-0.016820690887416334,-0.3562076110500386,-0.2450211057913934,1.020795188288917,0.015589384530216896,0.22714065971628783,2448.309229424007,0,0.772244094488189,247.10355337596852
extreme,development_2006_2010,-0.8126709266084106,-0.2850681038745404,-0.818732623812177,-1.552002404674833,1.2748509656351303,0.02373403310656847,0.14293522820442742,800.9473841931053,0,0.7222321428571429,252.24372325836532
extreme,validation_2011_2014,-0.46634971098992195,-0.145572357540789,-0.4752251333883083,-1.1763226038083086,0.5969106904005186,0.010326204614489288,0.14473684210526316,81.5260049644873,0,0.728735835694051,226.46037037037036
extreme,validation_2015_2018,-0.038827694449626415,-0.009864785510232066,-0.13226754650773298,-0.07596571426271286,1.0352613906644885,0.016440352836113555,0.22714065971628783,111.08793688669162,0,0.7143700787401573,252.34026045236465
extreme,bridge_2019_2020,0.10272395533989331,0.050211229772179955,-0.0439222668790914,0.8769558497413483,0.46946088783123224,0.006555779767856401,0.16116504854368932,24.66535684136295,0,0.7233247422680412,253.01435185185184
extreme,holdout_2021_2023,-0.07909103084218483,-0.027256027848859388,-0.09165316031127357,-0.6052301021641718,0.8090945442773086,0.013936383603099676,0.14660953373103625,63.064703312755675,0,0.7285541586073501,252.55059917355373
extreme,holdout_2024_2025,-0.21178292079941474,-0.11239926667622668,-0.21240923056954908,-1.9431393878669228,1.738129362037308,0.02561422210171445,0.15282478388082954,75.74718217495885,0,0.7176969156257966,252.0123148148148
extreme,final_2026h1,-0.05003124815232041,-0.09943152743639783,-0.05003124815232041,-3.066492522044333,1.1091863286050123,0.012903821294936944,0.13036760499271305,10.411885037323172,0,0.7292607802874742,250.97668994413408
extreme,full,-0.9374339445273705,-0.1170586894425596,-0.9374339445273705,-0.9495309580581829,0.9271122333314865,0.015576057526522672,0.22714065971628783,1275.2797820362014,0,0.7143700787401573,247.10355337596852
