policy,family,universe,target_vol,gross_cap,rebalance_days,no_trade_band,eligible_before_2021,prefinal_cagr,prefinal_sharpe,prefinal_max_drawdown,annual_turnover,validation_2016_2018_return,validation_2019_2020_return,worst_validation_return,stress_prefinal_cagr,stress_prefinal_dd,score
slow_trend_v15_g100_r5_b2_micro,slow_trend,micro,0.15,1.0,5,0.02,False,0.009885421219275603,0.2718529063355881,-0.11031655736889978,8.4470316414779,0.0005478430382728217,0.016320602990615107,0.0005478430382728217,0.005612380688151841,-0.11817187618573477,0.028478045085980896
slow_trend_v15_g125_r5_b2_micro,slow_trend,micro,0.15,1.25,5,0.02,False,0.009885421219275603,0.2718529063355881,-0.11031655736889978,8.4470316414779,0.0005478430382728217,0.016320602990615107,0.0005478430382728217,0.005612380688151841,-0.11817187618573477,0.028478045085980896
slow_trend_v10_g100_r5_b2_micro,slow_trend,micro,0.1,1.0,5,0.02,False,0.009885421219275603,0.2718529063355874,-0.11031655736890023,8.447031641477897,0.0005478430382717114,0.016320602990613997,0.0005478430382717114,0.005612380688150953,-0.11817187618573799,0.028478045085979647
slow_trend_v10_g125_r5_b2_micro,slow_trend,micro,0.1,1.25,5,0.02,False,0.009885421219275603,0.2718529063355874,-0.11031655736890023,8.447031641477897,0.0005478430382717114,0.016320602990613997,0.0005478430382717114,0.005612380688150953,-0.11817187618573799,0.028478045085979647
ensemble_v12_g100_r10_b2_micro,ensemble,micro,0.12,1.0,10,0.02,False,0.003380408268689683,0.10318846780245404,-0.1294613369592701,6.02341179066402,0.013603732458219664,0.018821026610057245,0.013603732458219664,0.0003452212429375656,-0.13508554463590638,-0.06928723511138832
ensemble_v12_g125_r10_b2_micro,ensemble,micro,0.12,1.25,10,0.02,False,0.003380408268689683,0.10318846780245404,-0.1294613369592701,6.02341179066402,0.013603732458219664,0.018821026610057245,0.013603732458219664,0.0003452212429375656,-0.13508554463590638,-0.06928723511138832
ensemble_v15_g100_r10_b2_micro,ensemble,micro,0.15,1.0,10,0.02,False,0.003380408268689683,0.10318846780244507,-0.1294613369592683,6.02341179066402,0.013603732458225437,0.018821026610057245,0.013603732458225437,0.0003452212429375656,-0.1350855446359086,-0.06928723511139082
ensemble_v15_g125_r10_b2_micro,ensemble,micro,0.15,1.25,10,0.02,False,0.003380408268689683,0.10318846780244507,-0.1294613369592683,6.02341179066402,0.013603732458225437,0.018821026610057245,0.013603732458225437,0.0003452212429375656,-0.1350855446359086,-0.06928723511139082
ensemble_v15_g100_r10_b5_micro,ensemble,micro,0.15,1.0,10,0.05,False,0.0032176057128106006,0.09919483364334808,-0.12924279606597522,5.979641645566768,0.012925474486167987,0.01703294486699769,0.012925474486167987,0.00020479912868243133,-0.13480937499954238,-0.07198169049744028
ensemble_v15_g125_r10_b5_micro,ensemble,micro,0.15,1.25,10,0.05,False,0.0032176057128106006,0.09919483364334808,-0.12924279606597522,5.979641645566768,0.012925474486167987,0.01703294486699769,0.012925474486167987,0.00020479912868243133,-0.13480937499954238,-0.07198169049744028
