scenario,period,total_return,annualized_return,max_drawdown,sharpe,annual_turnover,average_gross,max_gross,costs,liquidations,min_margin_buffer,observations_per_year
stress,full_2010_2026h1,0.18394340743952609,0.010295576827840103,-0.11916995005864417,0.2792007687221655,5.824571549844296,0.562536366717765,0.7834658191257539,1072.7842214756395,0,0.9118008705695118,251.62879920279022
severe,development_2010_2015,0.06073856779675357,0.009896441675529388,-0.10520855290446285,0.25091502239025326,5.384204957367313,0.5786190082503728,0.7267479500858133,658.2825574008789,0,0.8988846377671584,252.18449931412894
severe,validation_2016_2018,-0.04890250990333567,-0.01663045741375957,-0.08497959564435775,-0.4360250840366503,7.183054711111186,0.6124099975588817,0.7834658191257539,452.3816001436524,0,0.901685802807259,251.52747252747253
severe,validation_2019_2020,0.028545048528272332,0.014201466843922761,-0.03136974132291681,0.4647898592639764,4.790353050448694,0.49146518672481926,0.6507914742673614,200.87003794147793,0,0.9159722016451989,253.01954732510288
severe,bridge_2021_2023,0.0012807095218705378,0.00042936659017489553,-0.07478091753095895,0.031297115003881645,6.165483830632988,0.536284026255815,0.7370495667033381,394.4909427041397,0,0.9046299827677237,252.89118457300276
severe,holdout_2024_2025,0.07335187166455648,0.036102416620861444,-0.03433218400557991,0.9709418793595785,5.745117783972816,0.5684714945583448,0.7430059170988431,254.23663724937978,0,0.9038662984322016,252.5185185185185
severe,final_2026h1,-0.020450024389383925,-0.04128450093018632,-0.034083490330214294,-1.16909296544202,6.089571628357925,0.49056671153053,0.5833808582843022,68.29242852031896,0,0.9264148133632135,250.981843575419
severe,full_2010_2026h1,0.08837526339955537,0.005150498229328004,-0.10520855290446285,0.14964950097948707,5.830220135795451,0.5625950902822857,0.7834658191257539,2028.5542039598477,0,0.8988846377671584,251.62879920279022
extreme,development_2010_2015,-0.005314934332115495,-0.000889616404288307,-0.13538076617854378,0.0010547860695966783,5.374279307590861,0.5786988422160155,0.7267479500858134,1255.1451285343899,0,0.8795102885636285,252.18449931412894
extreme,validation_2016_2018,-0.10413259618657389,-0.03611198792455106,-0.12028714047673439,-0.9529019870865929,7.171201972654052,0.6126017133065957,0.783465819125754,806.3022998336787,0,0.8788638236568288,251.52747252747253
extreme,validation_2019_2020,-0.006881577490939872,-0.003453808487905663,-0.05095342998579744,-0.0950524217031893,4.780414060815343,0.49146062587669836,0.6507914742673615,343.29134414445457,0,0.8944546546559808,253.01954732510288
extreme,bridge_2021_2023,-0.05411709906022988,-0.0184874234697342,-0.09736545968376498,-0.41409051716311446,6.064842548742391,0.5359645388365298,0.7392601872294369,632.9956069430013,0,0.8826106618591052,252.89118457300276
extreme,holdout_2024_2025,0.048342121527002124,0.023935526440611365,-0.036934864363361686,0.6473806384719387,5.650849407483398,0.5687022688168422,0.7430059170988431,391.3669499410351,0,0.8817927433444434,252.5185185185185
extreme,final_2026h1,-0.026571752116751113,-0.053470471910275985,-0.03942724105803552,-1.5454657399157288,6.48379527330617,0.49175317198600166,0.5833808582843022,112.19240814670593,0,0.9090433906712222,250.981843575419
extreme,full_2010_2026h1,-0.1496829704465743,-0.009787995096321778,-0.21741154626777637,-0.22600845272600273,5.805365447223299,0.5626635009983573,0.783465819125754,3541.2937375432653,0,0.8788638236568288,251.62879920279022
delay_5,development_2010_2015,0.10931253869512458,0.017476617565324037,-0.08115561042468666,0.4188031158735822,5.37854806735952,0.5789050605134732,0.7267479500858133,340.5997424268039,0,0.907238746578342,252.18449931412894
delay_5,validation_2016_2018,-0.05523710718781005,-0.018826007444226245,-0.08821169452871469,-0.4845250268848908,7.18943670608468,0.6131801254364881,0.7839259990205283,238.5314056506356,0,0.9166181623141065,251.52747252747253
delay_5,validation_2019_2020,0.0308778904309428,0.015353336612248247,-0.03573007078926327,0.4932857575413417,4.794230308465636,0.49138079808270857,0.6507914742673615,105.95776868976442,0,0.9250359112810628,253.01954732510288
delay_5,bridge_2021_2023,0.015597078908478501,0.005204370781690226,-0.06538555399304746,0.14273033248079267,6.133522446878204,0.5350111409025823,0.7392601872294371,208.5029867085287,0,0.9193095300401359,252.89118457300276
delay_5,holdout_2024_2025,0.07201205440700131,0.03545422390762454,-0.03442192889465734,0.9386571549366957,5.658123630235557,0.5696636272551094,0.7435441471640651,134.44340881108056,0,0.9185820018240405,252.5185185185185
delay_5,final_2026h1,-0.009917083200540966,-0.02013144568985248,-0.02725689817376198,-0.5309339316523131,6.106675177621115,0.494296151240484,0.5834232062021102,36.77025468868843,0,0.937431687022748,250.981843575419
delay_5,full_2010_2026h1,0.16020337256559047,0.0090549400490334,-0.09513082473754386,0.24412325211392655,5.813987100002899,0.5628526262572453,0.7839259990205283,1064.8055669755015,0,0.907238746578342,251.62879920279022
