,equity,gross,turnover,min_margin_buffer,liquidated_notional,trading_costs,roll_costs,liquidation_penalty
2021-03-03 00:00:00+00:00,15923.422938561504,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-04 00:00:00+00:00,15724.460595854098,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-05 00:00:00+00:00,15759.06125993119,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-06 00:00:00+00:00,15877.194581222851,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-07 00:00:00+00:00,16002.382429374144,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-08 00:00:00+00:00,16109.687927470257,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-09 00:00:00+00:00,16390.103825828926,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-10 00:00:00+00:00,16187.266207967165,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-11 00:00:00+00:00,16213.140532023846,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-12 00:00:00+00:00,15980.74709312268,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-13 00:00:00+00:00,16216.086271460275,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-14 00:00:00+00:00,16059.30824485446,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-15 00:00:00+00:00,15978.957888560604,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-16 00:00:00+00:00,16320.249157422895,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-17 00:00:00+00:00,16513.902599030345,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-18 00:00:00+00:00,16294.504360085177,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-19 00:00:00+00:00,16400.330834988665,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-20 00:00:00+00:00,16295.90192444152,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-21 00:00:00+00:00,16258.602222906648,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-22 00:00:00+00:00,16072.310895539573,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-23 00:00:00+00:00,16083.469430506895,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-24 00:00:00+00:00,15932.107419573067,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-25 00:00:00+00:00,15918.276258603972,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-26 00:00:00+00:00,16219.356184613582,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-27 00:00:00+00:00,16229.607392423208,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-28 00:00:00+00:00,16219.50969680171,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-29 00:00:00+00:00,16352.771292290128,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-30 00:00:00+00:00,16493.22114474537,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-31 00:00:00+00:00,16511.91755911314,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-01 00:00:00+00:00,16667.089274628288,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-02 00:00:00+00:00,16807.087528477787,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-03 00:00:00+00:00,16643.582028454337,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-04 00:00:00+00:00,16787.03789752122,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-05 00:00:00+00:00,16906.32642746338,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-06 00:00:00+00:00,17062.146778353803,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-07 00:00:00+00:00,16826.289520215065,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-08 00:00:00+00:00,17109.302505820422,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-09 00:00:00+00:00,17168.48558991671,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-10 00:00:00+00:00,17336.221727566586,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-11 00:00:00+00:00,17674.229530727163,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-12 00:00:00+00:00,17787.207037976612,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-13 00:00:00+00:00,18209.83039936782,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-14 00:00:00+00:00,18646.23700392104,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-15 00:00:00+00:00,19196.08266093581,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-16 00:00:00+00:00,20103.31650744008,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-17 00:00:00+00:00,19779.53297829752,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-18 00:00:00+00:00,19755.59655739816,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-19 00:00:00+00:00,19946.147681509872,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-20 00:00:00+00:00,20105.401751369624,0.0,0.0,1.0,0.0,0.0,0.0,0.0
