date,SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,HYG,GLD,DBC,UUP,FXE,FXY,FX_EURUSD,FX_GBPUSD,FX_AUDUSD,FX_NZDUSD,FX_USDJPY,FX_USDCAD,FX_USDCHF
2012-08-28 00:00:00+00:00,0.05470200947222413,0.061218436224471734,0.02283259677227079,0.01332409797172904,-0.0054609091339905165,0.06774199306762682,0.0299519026657723,0.10440943369051249,0.054109760204379374,0.0007646604390996112,-0.06156344478923004,0.03498134003206977,-0.028768198495535868,0.023160279981246746,-0.034021018718158574,-0.012843023625684867,0.0018486370994825166,-0.007413682587725951,-0.011027775877601863,0.021575532562958608,0.034279602849304966
2012-08-29 00:00:00+00:00,0.055040176799444354,0.061508382976867684,0.02292200307203905,0.01340639848819806,-0.005386832907354049,0.06805793858869652,0.030125009769545436,0.10486800793947659,0.05440351201885519,0.0003333363674135337,-0.06192534914658371,0.03522142456109451,-0.028966563288313193,0.023069910350355646,-0.034156259008814235,-0.013028063762936026,0.0018912071877956725,-0.007452795283354697,-0.010960120407553488,0.021763119393259676,0.034415625766146554
2012-08-30 00:00:00+00:00,0.055774559094095316,0.06213804688645194,0.02311616258508188,0.013585126701335345,-0.005225965002865603,0.06874406281795055,0.03050093843519832,0.10586387235958597,0.05504143920521567,-0.0006033501070214983,-0.06271128004825388,0.03574280499362983,-0.029397342905301188,0.02287365881580881,-0.03444995407331787,-0.013429906843738886,0.001983654673470572,-0.007537734509748735,-0.010813196162245006,0.02217049300920067,0.03471102042362685
2012-08-31 00:00:00+00:00,0.05577455909409533,0.062138046886451956,0.02311616258508188,0.013585126701335347,-0.005225965002865601,0.06874406281795056,0.030500938435198324,0.105863872359586,0.055041439205215675,-0.0006033501070215122,-0.0627112800482539,0.035742804993629834,-0.02939734290530119,0.022873658815808807,-0.03444995407331787,-0.01342990684373889,0.0019836546734705736,-0.007537734509748737,-0.010813196162245005,0.022170493009200674,0.03471102042362686
2012-09-03 00:00:00+00:00,0.04927976186514704,0.05482730133169073,0.03861769969349485,0.01148266732274111,-0.02023386715610097,0.07165245263082537,0.029896181436262714,0.09973124385650078,0.06177882470723653,-0.002214381176048802,-0.06026509417184021,0.019235715092931586,-0.04703852284213333,0.0431007620649351,-0.017974626829923828,0.05159705987145863,0.00952974411019826,-0.009032175010657442,-0.028389586766834653,-0.029313458878349283,0.018225848532577932
2012-09-04 00:00:00+00:00,0.04927976186514704,0.05482730133169073,0.03861769969349485,0.01148266732274111,-0.02023386715610097,0.07165245263082537,0.029896181436262714,0.09973124385650078,0.06177882470723653,-0.002214381176048802,-0.060265094171840214,0.019235715092931586,-0.04703852284213333,0.0431007620649351,-0.017974626829923828,0.05159705987145863,0.00952974411019826,-0.009032175010657442,-0.028389586766834653,-0.029313458878349283,0.018225848532577932
2012-09-05 00:00:00+00:00,0.049279761865147036,0.054827301331690725,0.038617699693494836,0.011482667322741108,-0.020233867156100968,0.07165245263082536,0.029896181436262714,0.09973124385650078,0.061778824707236515,-0.002214381176048795,-0.0602650941718402,0.019235715092931586,-0.04703852284213332,0.0431007620649351,-0.017974626829923825,0.051597059871458614,0.009529744110198258,-0.00903217501065744,-0.028389586766834653,-0.029313458878349276,0.01822584853257793
2012-09-06 00:00:00+00:00,0.04927976186514704,0.05482730133169073,0.03861769969349485,0.01148266732274111,-0.02023386715610097,0.07165245263082537,0.029896181436262714,0.09973124385650078,0.06177882470723653,-0.002214381176048802,-0.06026509417184021,0.019235715092931586,-0.04703852284213333,0.0431007620649351,-0.017974626829923828,0.05159705987145863,0.00952974411019826,-0.009032175010657442,-0.028389586766834653,-0.029313458878349283,0.018225848532577932
2012-09-07 00:00:00+00:00,0.049279761865147036,0.054827301331690725,0.03861769969349484,0.011482667322741108,-0.020233867156100968,0.07165245263082536,0.029896181436262714,0.09973124385650078,0.061778824707236515,-0.002214381176048795,-0.0602650941718402,0.019235715092931586,-0.04703852284213333,0.0431007620649351,-0.017974626829923825,0.05159705987145862,0.009529744110198258,-0.00903217501065744,-0.028389586766834653,-0.029313458878349276,0.018225848532577932
2012-09-10 00:00:00+00:00,0.049279761865147036,0.054827301331690725,0.03861769969349484,0.011482667322741108,-0.020233867156100968,0.07165245263082536,0.029896181436262714,0.09973124385650078,0.061778824707236515,-0.002214381176048788,-0.0602650941718402,0.019235715092931586,-0.04703852284213332,0.0431007620649351,-0.017974626829923825,0.051597059871458614,0.009529744110198258,-0.00903217501065744,-0.028389586766834653,-0.029313458878349276,0.01822584853257793
