candidate,eligible_selection,score,check_development_positive,check_validation_a_positive,check_validation_b_positive,check_selection_cagr_min,check_selection_sharpe_min,check_selection_max_drawdown_min,check_selection_turnover_max,check_worst_severe_period_min,selection_cagr,selection_sharpe,selection_dd,selection_turnover
tsmom+ma+breakout+relative+crisis__vol12__cap075__r5__b05,False,-0.0246694856778833,True,False,True,False,False,True,False,False,0.006567752299447616,0.1093007378323843,-0.16074236779502793,20.61486454793951
tsmom+crisis__vol10__cap075__r5__b10,False,-0.024804706980361503,True,False,False,False,False,True,False,False,0.0056183586027998,0.09429026260192905,-0.17737893492844192,13.921017839103108
tsmom+breakout__vol08__cap075__r5__b05,False,-0.0248811112425879,True,False,True,False,False,True,False,False,0.003975414526116383,0.07613876768416394,-0.15106009144132493,13.289790639891564
crisis__vol12__cap075__r10__b10,False,-0.025047174064308578,True,True,False,False,False,True,True,True,0.0014271660228968308,0.024148855818095526,-0.17050897320713843,3.1520408591807305
tsmom+breakout__vol08__cap075__r5__b10,False,-0.025411966814576577,True,False,True,False,False,True,False,False,0.0038572266019110124,0.07382980627075618,-0.15375939492002844,13.191418754424522
crisis__vol08__cap075__r20__b10,False,-0.0254230389192031,True,True,False,False,False,True,True,True,9.777442454073082e-05,0.001997023559250832,-0.1377387037210993,2.52409823175205
tsmom+ma+breakout+relative+crisis__vol10__cap100__r5__b10,False,-0.025876167991293872,True,False,True,False,False,True,False,False,0.010738108009690439,0.15266507755399913,-0.18319710272085976,26.734177335888045
crisis__vol08__cap075__r20__b05,False,-0.026095111484003872,True,True,False,False,False,True,True,True,-0.00014419932749443198,-0.002950325622433764,-0.13824000108107304,2.5574616142208897
crisis__vol10__cap125__r5__b10,False,-0.026115564923675356,True,True,False,False,False,True,True,False,0.0041749599537275195,0.0568255261253212,-0.19163735379076974,6.437170783817184
crisis__vol10__cap100__r5__b10,False,-0.026141858020215528,True,True,False,False,False,True,True,True,0.0019673129287729463,0.02978352614881368,-0.16894791813160814,5.305143213726431
crisis__vol12__cap075__r5__b05,False,-0.026589857041160445,True,True,False,False,False,True,True,True,0.0008890235539678049,0.014926583563507533,-0.16465211209647335,4.094227312107238
crisis__vol10__cap125__r20__b05,False,-0.027029576005753068,True,True,False,False,False,True,True,False,0.002683644875486557,0.038001489622348526,-0.1637250411829656,4.130634342008971
tsmom+crisis__vol08__cap125__r10__b10,False,-0.02703014693179658,True,True,False,False,False,True,False,False,0.010179209116109256,0.13836481292633684,-0.2097851189972617,16.419635821989086
crisis__vol12__cap075__r5__b10,False,-0.027034018043063372,True,True,False,False,False,True,True,True,0.000783145545327546,0.013125480245765084,-0.1651208722178692,4.0405842219180395
crisis__vol12__cap100__r10__b05,False,-0.027247053230251474,True,True,False,False,False,True,True,True,0.0020404206260318247,0.028973611905194877,-0.18698950895629696,4.2146108908988795
tsmom+ma+breakout+relative+crisis__vol10__cap100__r5__b05,False,-0.027271277483603695,True,False,True,False,False,True,False,False,0.010313819563188886,0.14663641546880257,-0.18467850011963638,26.92050918743932
tsmom+crisis__vol08__cap125__r10__b05,False,-0.02728888955132434,True,True,False,False,False,True,False,False,0.010114216583403168,0.137465176448323,-0.21008977064755607,16.482389530656885
tsmom+ma+breakout+relative+crisis__vol08__cap125__r20__b10,False,-0.02745710425593817,True,False,True,False,False,False,False,False,0.013945444316734168,0.19299888789808486,-0.23284055597642572,25.304631046211206
tsmom+ma+breakout+relative+crisis__vol08__cap125__r20__b05,False,-0.027639683843833817,True,False,True,False,False,False,False,False,0.01395986913562397,0.19319345829877307,-0.23360094191905334,25.33040290770029
tsmom+relative__vol12__cap125__r5__b10,False,-0.027886931252297787,True,True,True,False,False,True,False,False,0.008721762396810995,0.1066915810454918,-0.2094787175005245,22.021558116832388
tsmom+crisis__vol12__cap075__r5__b10,False,-0.028024890425673143,True,False,False,False,False,True,False,False,0.004770460252256026,0.07628608062855413,-0.17737893492844226,13.979400093463989
