symbol,dataset,date,valid,http_status,checksum_status,checksum_valid,bytes,row_count,reason,archive_sha256
ETHUSD_PERP,metrics,2024-01-15,True,200,200,True,6654,288,ok,e5cdcce608a2ee1f0d4df31b3beaa98a6f55cd601375932965deb391f758fd72
ETHUSD_PERP,metrics,2024-04-15,False,404,404,,347,,missing_archive_or_checksum,
ETHUSD_PERP,metrics,2024-07-15,True,200,200,True,6896,288,ok,6f99f341455d3fd6dee2ecf9ac3c701001ac1f824725a1f966c8cbb01fa0f30f
ETHUSD_PERP,metrics,2024-10-15,True,200,200,True,6817,288,ok,23369f1ce006116856d05037c012690b3cad368db7773e37d659d532a799d114
ETHUSD_PERP,metrics,2025-01-15,True,200,200,True,6913,288,ok,6c1ba03379e37b6e5a3d99845adab4e2bd9f269cab04a1660b2abce52d73cf27
ETHUSD_PERP,metrics,2025-04-15,True,200,200,True,6786,288,ok,8b591a7627ec88b0342b747922f7b4ae75ed6069d239610fb6d49d7f6a43ae86
ETHUSD_PERP,metrics,2025-07-15,True,200,200,True,6915,288,ok,772bd8753433f712e74092d569beeba888a93c353ba4678beaa13abbfa915363
ETHUSD_PERP,metrics,2025-10-15,True,200,200,True,6881,288,ok,b5a2ad02fd375b94d7601a192a4c0ed2e3276209a8c00a2d9686ce7868651150
ETHUSD_PERP,metrics,2026-01-15,True,200,200,True,6851,288,ok,6a0977c0b07b04b67c942220da037d31a1682482108e869987af9eced615b4ac
ETHUSD_PERP,metrics,2026-04-15,True,200,200,True,6838,288,ok,be6f9ac504d6dc6828e58e773f19c8ded3d802524abc3c193473bcb48748e16b
ETHUSD_PERP,mark_price_1m,2021-01-15,True,200,200,True,36130,1440,ok,12659542f08f87a03dc199cb0338f9f8d54a23d918ed99088bab4fe55eb23e96
ETHUSD_PERP,mark_price_1m,2021-04-15,True,200,200,True,34917,1440,ok,3363400db7b2b8ad8d55e0ed972e5f822d798f79ee1f518151009d3e208097c9
ETHUSD_PERP,mark_price_1m,2021-07-15,True,200,200,True,35943,1440,ok,758c03a472f498e8e41d2cd185f86fde3e36e52cb3cae69975b8e8fe67725fc9
ETHUSD_PERP,mark_price_1m,2021-10-15,True,200,200,True,34854,1440,ok,cba9d6d88b85fdf5c169cc30685bcaacc263f3fdcdbb8faa4268bb53b61519a5
ETHUSD_PERP,mark_price_1m,2022-01-15,True,200,200,True,34034,1440,ok,3e450389b366752a6af97afae8d1378cbbd274bc58932d434cbb424a68bdfd0e
ETHUSD_PERP,mark_price_1m,2022-04-15,True,200,200,True,33724,1440,ok,3d74a11a80e5976bcfc233c6f36dd6f08ed5fe9042504f26be6aff01b06a47d6
ETHUSD_PERP,mark_price_1m,2022-07-15,True,200,200,True,35257,1440,ok,b06cee5c69eaee5440765afea81f61d7cd6d44a6665aabc9ec94e82b9e904982
ETHUSD_PERP,mark_price_1m,2022-10-15,True,200,200,True,31369,1440,ok,e7889ea2146b9ff2db054bc8b8a522cd4ae6e83eb5e1a7d2eadd1542ad85519a
ETHUSD_PERP,mark_price_1m,2023-01-15,True,200,200,True,34300,1440,ok,dbffdec8dd08a44b0e883faa9ac765552f4f0c80c458ea82b383f653b7319aed
ETHUSD_PERP,mark_price_1m,2023-04-15,True,200,200,True,32967,1440,ok,0553b91e6de649ae308215563892546334c22893e6e0902ff0b8fdf49dbe8801
ETHUSD_PERP,mark_price_1m,2023-07-15,True,200,200,True,30074,1440,ok,da913e44f0df14ad93ab392f16ac54ef58b7b7abfd9ce8f8f820d781a057c000
ETHUSD_PERP,mark_price_1m,2023-10-15,True,200,200,True,30620,1440,ok,3179cee734163a20b5abee854097c95ef15a555a4ac59da0dd40f026f26c299f
ETHUSD_PERP,mark_price_1m,2024-01-15,True,200,200,True,33347,1440,ok,f84e73a907717ac41ffc5563647c7c8209903b4f86b34fc4edfc0c0c758565e6
ETHUSD_PERP,mark_price_1m,2024-04-15,True,200,200,True,37644,1440,ok,dec2669c8838df5779b879e8bfd411cf046c85fa44ecc53b4abd67d9f9587ace
ETHUSD_PERP,mark_price_1m,2024-07-15,True,200,200,True,35865,1440,ok,f5080568001496b87310eb2b9606731d9588ac34f94cc9f0cdafb9673259df65
ETHUSD_PERP,mark_price_1m,2024-10-15,True,200,200,True,38609,1440,ok,8f3bfda7b848cefbce39efaa9301a681a6f82976a1918ac3b03ee252f7e8e87d
ETHUSD_PERP,mark_price_1m,2025-01-15,True,200,200,True,35811,1440,ok,2b4c4038b5f3cf9c847252a2ea93a555d29a406bdfdd5e6dc5454c8046c9f32b
ETHUSD_PERP,mark_price_1m,2025-04-15,True,200,200,True,34810,1440,ok,da39a3390e73f8213fff55adc501d88243d2d84681853f18be8822d8d4ab95d3
ETHUSD_PERP,mark_price_1m,2025-07-15,True,200,200,True,36728,1440,ok,64ada38bda4a3739ff962d05d8e29ecc21785466ee20507825e1c26242ac7836
ETHUSD_PERP,mark_price_1m,2025-10-15,True,200,200,True,35687,1440,ok,66cc0fa8bc22f68fd52e0c0091a07501679d7431a5634f1d62bbba97787e6190
ETHUSD_PERP,mark_price_1m,2026-01-15,True,200,200,True,34574,1440,ok,b36aae633d8abf28ef3421793dd29638312bbed66d5798b39b9752938e67668d
ETHUSD_PERP,mark_price_1m,2026-04-15,True,200,200,True,33780,1440,ok,d91f3510cfce473669d1cfd3bbed2337a957f485ead23f697d68cbc6f49f3279
