audit,period,name,transfer_cost_bps,financing_rate,extra_underlying_cost_bps,signal_delay_days,total_return,cagr,sharpe,sortino,max_drawdown,calmar,worst_rolling_365,final_equity,annual_meta_turnover,average_leverage,max_leverage,average_close_gross,max_close_gross,transfer_cost,financing_cost,extra_underlying_cost,risk_reductions,scheduled_rebalances,signal_switches,high_state_share
extreme,development,extreme,50.0,0.22,80.0,2,1.4358315027251458,0.3454960102610489,1.22773317356818,2.1586612496831448,-0.33085594976273025,1.0442490470817214,-0.22026384199209192,24358.315027251458,5.4569760420880264,1.0056164383561643,1.95,0.937867838263327,2.016308592980343,1704.4917199669835,3191.543640574565,5171.616563986594,12,7,12,0.3004566210045662
extreme,validation_2024,extreme,50.0,0.22,80.0,2,0.42198934517115405,0.42062218567458864,1.5339304585040108,2.649607320265467,-0.1486959035658083,2.82874091073016,0.12173655587178867,14219.893451711541,5.118075098431469,0.9577868852459015,1.95,0.8992368847031403,1.9853588244802824,783.1102055232293,1444.2590836494282,2300.3796345436817,2,2,4,0.2650273224043716
extreme,holdout_2025,extreme,50.0,0.22,80.0,2,-0.055257391940405465,-0.055257391940405465,0.05723022272539455,0.09121219138150637,-0.23875646841750098,-0.23143830324956788,-0.1276264908787117,9447.426080595946,8.248989926688719,0.9254794520547941,1.95,0.8652820175004322,2.118563234069946,1476.8879765474671,1431.935788095877,2534.967032904723,8,3,6,0.2410958904109589
extreme,final_2026h1,extreme,50.0,0.22,80.0,2,-0.035720593579034676,-0.07072564275034299,-0.826983568846172,-1.082240911161684,-0.07638096099579295,-0.9259590587533789,-0.037575807973318054,9642.794064209653,5.533464453072413,0.7491712707182319,1.95,0.7135009230192914,2.006129512557531,445.1951702770011,282.1095952927624,954.7814034415296,2,1,2,0.11049723756906077
extreme,full,extreme,50.0,0.22,80.0,2,2.155440385506391,0.23242580607173347,0.873905192574048,1.465726706584092,-0.33085594976273025,0.7024984928891715,-0.22026384199209192,31554.40385506391,5.90983689155944,0.9591928251121076,1.95,0.8973879353033593,2.118563234069946,4409.685072314681,6349.848107612632,10961.744634876528,24,13,24,0.26606875934230195
delay_1d,development,delay_1d,10.0,0.08,0.0,1,2.4943535590916732,0.5174775740906172,1.6905852334381044,3.046865757198893,-0.17189752712845996,3.010384051097509,-0.1438172008087245,34943.535590916734,5.363891618505481,1.0056164383561643,1.95,0.9266278816744723,1.9996418391754431,408.2780420577799,1364.768500060244,0.0,7,7,12,0.3004566210045662
delay_1d,validation_2024,delay_1d,10.0,0.08,0.0,1,0.8734635762470997,0.8702528344140463,2.2288820313355244,4.975308951039586,-0.1213573569759101,7.170993634830023,0.19209120761701692,18734.635762470996,4.88672952298737,0.9577868852459014,1.95,0.8823132530005308,1.972034972728328,227.39553202998002,777.2406977109517,0.0,2,2,4,0.2650273224043716
delay_1d,holdout_2025,delay_1d,10.0,0.08,0.0,1,0.03712946088323066,0.03712946088323066,0.288783589805858,0.465695820601971,-0.2278544004694788,0.16295257325172513,-0.082930765298183,10371.294608832306,8.198071988032105,0.9254794520547942,1.95,0.8752217911005864,2.1165237074714813,581.5098744683917,1091.858212326291,0.0,7,3,6,0.2410958904109589
delay_1d,final_2026h1,delay_1d,10.0,0.08,0.0,1,0.0021435555794024896,0.00432734945784552,0.09434092347602148,0.12752736355181343,-0.0534443404467253,0.08096927423323959,0.00010186099481779287,10021.435555794025,5.515324682843084,0.7491712707182319,1.95,0.7020156748679071,1.9840139759468802,185.90054524826365,201.18414551317886,0.0,1,1,2,0.11049723756906077
delay_1d,full,delay_1d,10.0,0.08,0.0,1,5.80416768362085,0.4172659693292162,1.338261241046701,2.3733194802710735,-0.2469467607293213,1.6897001122706852,-0.1438172008087245,68041.6768362085,5.805966303389734,0.9591928251121076,1.95,0.8889411917959873,2.1165237074714813,1403.0839938044153,3435.0515556106657,0.0,17,13,24,0.26606875934230195
