kind,symbol,month,url,bytes,sha256,checksum_available,checksum_passed,rows,missing
klines,EOSUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/EOSUSDT/1h/EOSUSDT-1h-2020-03.zip,31238,50f39c1faa0a7b00b73b4c016341abdae630f8d0087181378248d6007b39579d,True,True,744,False
fundingRate,DOGEUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/DOGEUSDT/DOGEUSDT-fundingRate-2020-03.zip,0,,False,,0,True
fundingRate,LTCUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/LTCUSDT/LTCUSDT-fundingRate-2020-03.zip,841,7ef3457cadc6a5adbea70c802b5d4c8257b99687870a1538daf86a3277a0bfd2,True,True,93,False
fundingRate,ETHUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/ETHUSDT/ETHUSDT-fundingRate-2020-03.zip,785,0b9edb31ec6aedad0248d54e89b7ea5ff3cc4ab719519751db3de334caf54303,True,True,93,False
klines,LINKUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/LINKUSDT/1h/LINKUSDT-1h-2020-03.zip,34014,9682e39cb6078325f8a10ac2bb0208d5b21962f18798f3847c58e6b1bd6956da,True,True,744,False
klines,BCHUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/BCHUSDT/1h/BCHUSDT-1h-2020-03.zip,35211,4d1399fe4b9db52b6411050cfd0bf4de2859ab8f72344cb2825fcaa87a71f86c,True,True,744,False
klines,DOTUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/DOTUSDT/1h/DOTUSDT-1h-2020-03.zip,0,,False,,0,True
fundingRate,DOTUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/DOTUSDT/DOTUSDT-fundingRate-2020-03.zip,0,,False,,0,True
klines,TRXUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/TRXUSDT/1h/TRXUSDT-1h-2020-03.zip,31569,9c15a1f21f95111b6927b8a84bf721e777e76336b196918c45eebfbd323bd762,True,True,744,False
klines,LTCUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/LTCUSDT/1h/LTCUSDT-1h-2020-03.zip,33416,3fe9bf06b0da138f8e02a2fa143515e9f88f2cd23fd05a0954d2cde2bb0f0b0f,True,True,744,False
klines,SOLUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/SOLUSDT/1h/SOLUSDT-1h-2020-03.zip,0,,False,,0,True
klines,BTCUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2020-04.zip,36833,bfa6d2adc1aefd8a96b3cbd38932486741caa1ae40f1e646df3606205402176f,True,True,720,False
fundingRate,EOSUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/EOSUSDT/EOSUSDT-fundingRate-2020-03.zip,795,8bb16859a587ae0ae380161b2c0f9aec0ba9c1c9358a90b952f1053fa7627a26,True,True,93,False
fundingRate,SOLUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/SOLUSDT/SOLUSDT-fundingRate-2020-03.zip,0,,False,,0,True
klines,DOGEUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/DOGEUSDT/1h/DOGEUSDT-1h-2020-03.zip,0,,False,,0,True
fundingRate,BTCUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/BTCUSDT/BTCUSDT-fundingRate-2020-04.zip,867,d009ce034d08c3dcf3e7f874b0f8b0ec76ba507bc6bb4e007e541df537bafbce,True,True,90,False
klines,ETHUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2020-04.zip,34570,13e40f3a8414a1aca0f6ca494012c94f15cff50eed729d61c43ee4fa530f2488,True,True,720,False
