stage,model,full_return_pct,full_cagr_pct,full_max_mark_close_drawdown_pct,full_completed_episodes,later_return_pct,later_cagr_pct,later_max_mark_close_drawdown_pct,later_completed_episodes,validation_return_pct,validation_cagr_pct,validation_max_mark_close_drawdown_pct,validation_completed_episodes,later_double_costs_return_pct,later_double_costs_cagr_pct,later_double_costs_max_mark_close_drawdown_pct,later_double_costs_completed_episodes,later_delay2_return_pct,later_delay2_cagr_pct,later_delay2_max_mark_close_drawdown_pct,later_delay2_completed_episodes,full_max_mark_gross,all_reported_scenarios_qualified
channels,ratio30_125,89.73042659516213,11.969770827754056,-31.37848275985907,47,59.325956057584264,32.28836185909771,-10.669056227136108,11,-15.44875349731587,-15.419673200662476,-23.365859227193976,10,56.65323230882269,30.950721914956603,-10.966191531841352,11,62.60181878189699,33.91570130765582,-9.19767353009765,11,1.7867981875140633,True
channels,both_h12,53.96096235067722,7.915654838123087,-70.90248469444049,146,-31.841058656251597,-20.568916488205534,-53.80221119006874,41,-14.43931504785223,-14.411969078763832,-39.576919992249934,30,-35.103930413940255,-22.875554662216334,-55.23283049066225,41,-33.312414523502845,-21.603483375992827,-55.15871458679643,41,1.4690854725128284,True
channels,both_h24,283.60422757903024,26.78725378307123,-57.36334483668851,69,56.36247069321896,30.804654519949224,-28.685342644204592,20,24.10736886122098,24.052454123364498,-27.220037985838765,12,52.739545559163005,28.975447911872386,-29.034425042808788,20,50.449542659404024,27.81028866628612,-28.49433943415889,20,1.369450189423343,True
channels,both_h4,110.96452186076378,14.086476550724392,-55.37235563898516,412,-31.68973886553402,-20.46302581594893,-45.532397700172275,131,3.249747629981048,3.24298148070008,-34.953863218610714,75,-41.51209239343224,-27.545185456991117,-52.2274614599616,131,-28.688033444498974,-18.381469980047505,-43.731158682796575,131,1.399197093346815,True
channels,btc_h12,-31.12895462967128,-6.371540887411154,-63.93434314598678,65,12.016460582341848,7.054661514085003,-22.064511512960294,17,-26.262618696888897,-26.216569788923806,-45.085735383942726,15,9.962022952090056,5.870790927769143,-22.446276368217845,17,12.536418537393113,7.352909044701406,-18.82872817096899,17,1.6687617617694068,True
channels,btc_h24,23.806817975161355,3.841898649144504,-57.29786864444674,33,27.22023330816601,15.560948544125107,-23.659733967546813,9,36.209939703911445,36.123711734089945,-16.58466383017928,5,25.81274090441703,14.791196752118797,-23.971106323798285,9,29.013027081295427,16.53651396776139,-23.63049520514299,9,1.2637544686275608,True
channels,btc_h4,4.017301650147598,0.6977406917598517,-53.836775495180646,185,-26.28997531488534,-16.74355051933023,-35.32171200082607,62,-10.218102142421625,-10.19826940978188,-39.79073776777287,36,-31.509862045695925,-20.337273240208077,-39.91710320975375,62,-26.660766921903345,-16.99540217134161,-37.194795723379535,62,1.2224279966536855,True
budget,relative125,89.73042659516213,11.969770827754056,-31.37848275985907,47,59.325956057584264,32.28836185909771,-10.669056227136108,11,-15.44875349731587,-15.419673200662476,-23.365859227193976,10,56.65323230882269,30.950721914956603,-10.966191531841352,11,62.60181878189699,33.91570130765582,-9.19767353009765,11,1.7867981875140633,True
budget,daily25,52.510576554116504,7.735486685449411,-19.039145938251444,69,13.292963245417022,7.785881789901206,-8.242726118184873,20,6.670772472710951,6.656657669364452,-8.418575126486127,12,12.67089743502645,7.429956439084329,-8.35080613071808,20,12.400436611949539,7.274963128461209,-8.286983334998698,20,0.39419505641136804,True
budget,daily50,118.88517269132137,14.831210165368569,-34.495576275966634,69,27.309129370665165,15.609450976093653,-15.704402418088758,20,13.047401334520137,13.018995483753004,-15.56855360995064,12,25.8731304930375,14.824293937986056,-15.905203129490031,20,25.17651342418119,14.442118919264257,-15.712803023464982,20,0.6662720050881655,True
budget,mix25,163.18709569097916,18.629096791646525,-25.089738999634946,98,53.18554085149061,29.201557815466074,-9.588405273865085,25,-4.472316012865962,-4.463359070832052,-17.189550070184502,21,51.09224685932454,28.138008662005465,-9.725024416145878,25,57.2285175250788,31.23940440155244,-8.316788286862176,25,1.168134093743915,True
budget,mix50,315.2899720359316,28.576144487469946,-30.233261136810686,121,51.19488829937151,28.190294767021395,-16.764970220533783,33,6.4670500613285276,6.45337922546616,-16.394816319399684,22,47.79087018445489,26.44862910571746,-17.081640156453346,33,58.43156532825324,31.841743334612605,-15.16152980869464,33,1.2532909072618221,True
