model,period,total_return,cagr,sharpe,max_drawdown,annual_turnover,annual_meta_turnover,average_gross,max_gross,average_risky_budget,max_risky_budget,final_equity,meta_cost,extra_underlying_cost,financing_drag
barbell_equal,full,0.6948404632285208,0.1008258932370103,1.4091039695616359,-0.10783884529469878,11.9950622481813,0.6317883913960044,0.42411486729314124,0.5830758717489993,1.096985217991821,1.1215822978786614,16948.40463228521,17.349671973283296,0.0,530.8486058018962
barbell_static_vol_equal,development_2021_2023,0.8676194758461606,0.23189093368217661,2.5539610118741023,-0.03844065976299338,12.1717431707054,0.7513386032087336,0.4264645674017031,0.5827337172411036,1.1170743754828827,1.125,18676.194758461606,11.25231088811344,0.0,280.9855921032662
barbell_static_vol_equal,validation_2024,-0.07255757955189357,-0.07260399169370191,-1.2104504339001487,-0.09711420804752635,12.687598097184479,0.0,0.4442379672995773,0.6022515355113619,1.125,1.125,17321.095271547867,0.0,0.0,100.27397260273969
barbell_static_vol_equal,holdout_2025,-0.021071679703308588,-0.021142841290068715,-0.40670698712260644,-0.06950548501009746,10.995062621445129,0.0,0.43248917544287097,0.542531337721804,1.125,1.125,16956.110699875317,0.0,0.0,99.99999999999999
barbell_static_vol_equal,final_2026h1,0.005058074761361775,0.010290179937891386,0.27997022515963255,-0.021558213039272855,11.973553201637733,0.0,0.45441799304227404,0.5317267444070489,1.125,1.125,17041.875975457213,0.0,0.0,49.5890410958904
barbell_static_vol_equal,full,0.7041875975457212,0.10192880636605928,1.401674435971548,-0.11126474473416248,12.016103043232732,0.4097529570839255,0.433322373250528,0.6022515355113619,1.1206758550840838,1.125,17041.875975457213,11.252310888113438,0.0,530.8486058018962
triple_equal,development_2021_2023,0.8415142617974751,0.2261151877290144,2.5819678530768297,-0.03529122074323543,11.757714579320533,0.8641015095148793,0.4060710395837682,0.5580119117740028,1.0641042678150836,1.0810548652524408,18415.14261797475,12.94108778974624,0.0,187.32372806884416
triple_equal,validation_2024,-0.06576879818505588,-0.0658110234521756,-1.1567823603309044,-0.09060335317980983,12.093115448454101,0.10762969381892369,0.4198197601502989,0.5671621472434402,1.0630824249715263,1.076084838106428,17204.000819584144,0.5377911694820173,0.0,66.84931506849314
triple_equal,holdout_2025,-0.01657183832944764,-0.01662793273918539,-0.33381429606937557,-0.06489975374345991,10.593997447214388,0.1684926338350879,0.40997852679175695,0.5163598299942871,1.066395050865957,1.0801662736454773,16918.89889938231,0.8395972363015256,0.0,66.66666666666666
triple_equal,final_2026h1,0.005999176982286025,0.012210659887223141,0.343501892401915,-0.019756243934091144,11.605378655652759,0.23590815032092233,0.43127331925572304,0.5051194761127029,1.0676778304413617,1.0764010500758943,17020.398368225113,0.5813051199924163,0.0,33.0593607305936
triple_equal,full,0.7020398368225114,0.10167582043921541,1.4519190940211155,-0.10024680688590026,11.576326080391798,0.5425756108808192,0.4115617606494833,0.5671621472434402,1.064656811994547,1.0810548652524408,17020.398368225113,14.8997813155222,0.0,353.8990705345976
