audit,model,total_return,cagr,sharpe,max_drawdown,annual_turnover,annual_meta_turnover,average_gross,max_gross,average_risky_budget,max_risky_budget,final_equity,meta_cost,extra_underlying_cost,financing_drag
extreme,persistent_budget,0.14214324066624195,0.024494131287544185,0.4068333560941385,-0.2497535150850242,10.696772154709933,0.8082209184746066,0.36804053544739374,0.5119867614338651,0.9526187258154736,1.0,11421.43240666242,177.55777736271773,3801.721772773334,0.0
extreme,vol22_budget,-0.030247518155003816,-0.005576719630423277,-0.03072232528698563,-0.37887622508751073,13.293352341652666,0.4553558643174023,0.4801891991388887,0.6691683727904021,1.241351710168168,1.25,9697.524818449961,100.036974209815,4935.656352553216,1592.5458174056894
extreme,barbell_equal,0.05262916014649832,0.009382552214071582,0.16558216568089992,-0.31729020470919955,11.9950622481813,0.6317883913960044,0.42411486729314124,0.5830758717489993,1.096985217991821,1.1215822978786614,10526.291601464984,138.79737578626637,4368.689062663275,796.2729087028447
extreme,barbell_static_vol_equal,0.05303484682552928,0.00945337175079275,0.16500541154620366,-0.321743341796596,12.016103043232732,0.4097529570839255,0.433322373250528,0.6022515355113619,1.1206758550840838,1.125,10530.348468255293,90.0184871049075,4462.141396735087,796.2729087028447
extreme,triple_equal,0.08199983454711957,0.014452968377769881,0.23916377714068912,-0.29852637103325996,11.576326080391798,0.5425756108808192,0.4115617606494833,0.5671621472434402,1.064656811994547,1.0810548652524408,10819.998345471196,119.1982505241776,4242.001522081169,530.8486058018962
delay_1d,V285_raw,0.7159718632060179,0.103312258955091,1.0052511309283103,-0.1284334846796289,4.800327251832408,0.3641500498504487,0.4807515518055474,0.5895490492452801,0.9995017438963627,1.0,17159.71863206018,10.0,0.0,0.0
delay_1d,V365_raw,0.6877142331738859,0.09998168791971729,1.1015133367735361,-0.1519515665622314,14.637189021160403,0.3641500498504487,0.32342246732185304,0.5313769234705499,0.9995017438963627,1.0,16877.142331738858,10.0,0.0,0.0
delay_1d,static_40_60,0.7218384398926285,0.10399808982358594,1.552345604759998,-0.0862025178569823,10.702444313429202,0.3641500498504487,0.38635410111533075,0.5353346982323217,0.9995017438963627,1.0,17218.384398926286,10.0,0.0,0.0
delay_1d,persistent_budget,0.7041776600882359,0.10192763642809632,1.5750831510924366,-0.07829905542899074,10.660687227488836,0.8082209184746066,0.36794346536356554,0.5119867614338651,0.952150213121547,1.0,17041.77660088236,22.194722170339716,0.0,0.0
delay_1d,vol22_budget,0.696612609849234,0.10103537885286284,1.287190859561835,-0.1405895721951882,13.256945056057017,0.4553558643174023,0.48003894085493437,0.6691683727904021,1.2407288900386213,1.25,16966.12609849234,12.504621776226875,0.0,1061.1492663983129
delay_1d,barbell_equal,0.7006928412657705,0.10151702382306027,1.4185996241951448,-0.10766474434528306,11.958816141772928,0.6317883913960044,0.42399120310925,0.5830758717489993,1.096439551580084,1.1215822978786614,17006.928412657704,17.349671973283296,0.0,530.5746331991564
delay_1d,barbell_static_vol_equal,0.7093984995161744,0.10254151923706156,1.410124173454431,-0.11126474473415926,11.97969468474311,0.4097529570839255,0.43319652098513256,0.6022515355113619,1.120115316967492,1.125,17093.984995161743,11.252310888113437,0.0,530.5746331991564
delay_1d,triple_equal,0.7077464337250017,0.10234743017067949,1.4614483797518045,-0.10019058757065868,11.540025532325018,0.5425756108808192,0.4114455024446102,0.5671621472434402,1.0641269490188436,1.0810548652524408,17077.464337250018,14.8997813155222,0.0,353.71642213277113
