date,SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,HYG,GLD,DBC,UUP,FXE,FXY
2017-08-10 00:00:00+00:00,211.85824584960938,132.95657348632812,121.92449188232422,50.52279281616211,34.9470100402832,58.09546661376953,98.01268005371094,86.9657974243164,54.30358123779297,122.20999908447266,12.453295707702637,20.21669578552246,108.09904479980469,88.0999984741211
2017-08-11 00:00:00+00:00,212.1710968017578,133.96531677246094,122.10340881347656,50.4310302734375,35.028621673583984,57.73678207397461,98.05921936035156,87.06291961669922,54.39702606201172,122.79000091552734,12.495569229125977,20.141510009765625,108.554931640625,88.16000366210938
2017-08-14 00:00:00+00:00,214.2744140625,135.69056701660156,123.95545959472656,50.79808044433594,35.387725830078125,58.700252532958984,97.5550537109375,86.85242462158203,54.68354415893555,121.91999816894531,12.385660171508789,20.225046157836914,108.12751770019531,87.69999694824219
2017-08-15 00:00:00+00:00,214.2483367919922,135.78482055664062,122.93550109863281,50.75984191894531,35.428524017333984,58.524436950683594,97.14397430419922,86.59339141845703,54.70222091674805,120.9800033569336,12.326478958129883,20.316944122314453,107.72865295410156,86.9800033569336
2017-08-16 00:00:00+00:00,214.62205505371094,136.02049255371094,122.97126007080078,51.0504264831543,35.79579162597656,58.756534576416016,97.50077056884766,86.75528717041016,54.70846939086914,121.87000274658203,12.292662620544434,20.25010871887207,108.05155944824219,87.25
2017-08-17 00:00:00+00:00,211.2759246826172,133.23936462402344,120.72550964355469,50.47691345214844,35.33875274658203,58.39083480834961,98.22982025146484,87.06291961669922,54.403236389160156,122.48999786376953,12.326478958129883,20.291881561279297,107.61469268798828,87.83000183105469
2017-08-18 00:00:00+00:00,210.94564819335938,133.14511108398438,120.71660614013672,50.61455154418945,35.64072799682617,57.800106048583984,98.2065658569336,87.07911682128906,54.48421859741211,122.30000305175781,12.546294212341309,20.225046157836914,107.98504638671875,88.08999633789062
2017-08-21 00:00:00+00:00,211.11082458496094,132.97547912597656,120.63605499267578,50.59926223754883,35.77131271362305,58.41896057128906,98.44699096679688,87.1357421875,54.5402717590332,122.76000213623047,12.39411449432373,20.166568756103516,108.42195129394531,88.30000305175781
2017-08-22 00:00:00+00:00,213.31838989257812,135.00230407714844,121.9423599243164,50.843963623046875,36.17121124267578,58.250186920166016,98.06697845458984,86.9657974243164,54.76451873779297,122.20999908447266,12.427932739257812,20.25010871887207,107.87110900878906,87.76000213623047
2017-08-23 00:00:00+00:00,212.55352783203125,134.5215606689453,121.74552154541016,50.85160827636719,36.34260177612305,58.84792709350586,98.73396301269531,87.26531219482422,54.7707405090332,122.66999816894531,12.537839889526367,20.166568756103516,108.48846435546875,88.22000122070312
