candidate,eligible,score,periods_positive,cagr,sharpe,dd,turnover,severe,selection_cagr,selection_sharpe,selection_dd
country_l126-252_k2_s15__r10__v12__g125,False,-0.15179008346434142,False,False,False,False,39.076856557752215,False,-0.020637481860843687,-0.1719916843449915,-0.499177177408309
country_l126-252_k3_s15__r20__v18__g100,False,-0.1521065224183029,False,False,False,False,35.31314352814794,False,-0.023385934745466685,-0.18216393709451162,-0.5012736695682473
country_l63-126-252_k2_s00__r10__v15__g125,False,-0.15222268456484364,False,False,False,False,37.26003354633271,False,-0.017922049153960784,-0.12668094470565222,-0.5624833826265663
combined_l21-63-126-252_k2_s25__r20__v12__g125,False,-0.15256873756346545,False,False,False,False,58.38617154110293,False,-0.016492898391125665,-0.15055254952080732,-0.41756275119437425
country_l126-252_k4_s15__r20__v12__g114,False,-0.15288035976428327,False,False,False,False,32.82270889171089,False,-0.024264298574340537,-0.21434266576104866,-0.4957272381475133
country_l126-252_k2_s25__r20__v12__g100,False,-0.15295299803384912,False,False,False,False,36.4477812580934,False,-0.0216252508696978,-0.19744582058782265,-0.5009025589818377
country_l126-252_k2_s00__r5__v12__g125,False,-0.15295982130003266,False,False,False,False,32.54429674195503,False,-0.028237802325684402,-0.23128940516479587,-0.4603252114394244
country_l126-252_k2_s00__r5__v15__g114,False,-0.1530316286801364,False,False,False,False,36.14321559726159,False,-0.02563663037855901,-0.18276926644075336,-0.4864990404016032
country_l21-63-126-252_k4_s00__r5__v15__g100,False,-0.15319949499712782,False,False,False,False,31.943966021706448,False,-0.025912700298901026,-0.20223473607681694,-0.5007957004589242
country_l21-63-126-252_k2_s00__r5__v12__g114,False,-0.15327489915343917,False,False,False,False,32.443415733511436,False,-0.02590448373015808,-0.21648503093223634,-0.4885233106436401
country_l126-252_k3_s15__r20__v12__g114,False,-0.15367061306226354,False,False,False,False,34.200153318999476,False,-0.024756859889857985,-0.21629686503634687,-0.4872260889984761
country_l126-252_k2_s00__r5__v18__g114,False,-0.1540121633294021,False,False,False,False,39.18498551851665,False,-0.02364445835641893,-0.15103902583222906,-0.5071921124749573
country_l126-252_k4_s15__r10__v18__g100,False,-0.1542670927166982,False,False,False,False,34.35599660936161,False,-0.02289965332117383,-0.1815667740407491,-0.5256984358805856
combined_l21-63-126-252_k2_s25__r10__v15__g125,False,-0.15487703864258573,False,False,False,False,62.71833862665838,False,-0.015011177826985689,-0.12373816699316786,-0.4318247032641659
country_l63-126-252_k2_s00__r10__v18__g125,False,-0.15495656786311177,False,False,False,False,40.618599224143274,False,-0.016110830975897494,-0.10104264264426202,-0.587485822657632
country_l126-252_k2_s15__r20__v15__g114,False,-0.15500969295395084,False,False,False,False,41.13310168525453,False,-0.0201800742816185,-0.14921099725304013,-0.5251694484118254
country_l21-63-126-252_k4_s00__r10__v12__g125,False,-0.15510939341891417,False,False,False,False,29.827745843308453,False,-0.024639451913274546,-0.20939094519935822,-0.5313540076159691
country_l21-63-126-252_k2_s00__r5__v18__g114,False,-0.15621157049876952,False,False,False,False,40.13283492530142,False,-0.021679328252151464,-0.13948624582391825,-0.5363385515928321
country_l63-126-252_k4_s00__r5__v12__g100,False,-0.1567757505813618,False,False,False,False,28.04881084338109,False,-0.03036933137471809,-0.2684423061433584,-0.47675585165951195
country_l126-252_k2_s25__r10__v12__g100,False,-0.15681338043283688,False,False,False,False,37.30462515092976,False,-0.022474527255666787,-0.20620782401941284,-0.5094229708286604
country_l126-252_k3_s00__r5__v18__g125,False,-0.15688276960416284,False,False,False,False,37.531730937859294,False,-0.02572868032846276,-0.16200634664428643,-0.5161448244894142
country_l126-252_k4_s00__r5__v18__g114,False,-0.15701624362942365,False,False,False,False,33.13396029571339,False,-0.027554752010607086,-0.182430469216651,-0.5205632293429204
combined_l21-63-126-252_k2_s25__r5__v15__g125,False,-0.157028176243149,False,False,False,False,63.42058421443492,False,-0.018692357022096484,-0.1532712363288255,-0.39725407582490024
country_l63-126-252_k4_s00__r10__v18__g125,False,-0.15826488609707795,False,False,False,False,35.67180471245879,False,-0.022457169148909606,-0.14460684822647718,-0.5711681827537456
country_l21-63-126-252_k3_s00__r5__v12__g100,False,-0.1589111955129618,False,False,False,False,30.923420145288272,False,-0.02935693449980714,-0.2587993415854511,-0.4850060447288085
country_l126-252_k3_s15__r10__v12__g100,False,-0.15939076306969968,False,False,False,False,32.38231783603614,False,-0.02702098060422542,-0.2489166699107977,-0.500638650922389
country_l126-252_k3_s00__r5__v15__g125,False,-0.1594105521242386,False,False,False,False,34.14626809092684,False,-0.02862207517270865,-0.2014529677401693,-0.5099794139105747
country_l126-252_k2_s15__r20__v18__g114,False,-0.1596080427532484,False,False,False,False,43.262736786245355,False,-0.01970305380622528,-0.13393070141270522,-0.5549945467967152
combined_l63-126-252_k2_s25__r20__v18__g125,False,-0.15987645637692022,False,False,False,False,57.00331358205834,False,-0.0183861999643532,-0.13939384411848207,-0.4703170561244032
combined_l21-63-126-252_k2_s25__r20__v18__g114,False,-0.1599097536195185,False,False,False,False,60.783815730532126,False,-0.01701581341550773,-0.13698350585977204,-0.456078492583343
country_l63-126-252_k4_s00__r10__v15__g125,False,-0.15992747593332568,False,False,False,False,32.946711509969575,False,-0.02507203636352695,-0.18004716427480177,-0.5593600775489931
country_l63-126-252_k2_s00__r5__v12__g114,False,-0.16000838806972079,False,False,False,False,32.68569209883701,False,-0.028803373754640704,-0.2407872645998569,-0.49627063837504914
country_l21-63-126-252_k3_s00__r10__v15__g125,False,-0.16045520528341659,False,False,False,False,36.312122499882236,False,-0.023430113763487248,-0.1676946814598874,-0.5596233391603891
