,equity,gross,turnover,short_gross
2010-12-17 00:00:00+00:00,10464.343068311915,1.0,0.0,0.0
2010-12-20 00:00:00+00:00,10493.390970947341,1.0,0.0,0.0
2010-12-21 00:00:00+00:00,10546.073225802822,1.0,0.0,0.0
2010-12-22 00:00:00+00:00,10576.391017896694,1.0,0.0,0.0
2010-12-23 00:00:00+00:00,10568.265388663538,1.0,0.0,0.0
2010-12-27 00:00:00+00:00,10543.105345887285,1.0,0.0,0.0
2010-12-28 00:00:00+00:00,10552.992731976361,1.0,0.0,0.0
2010-12-29 00:00:00+00:00,10590.834542080325,1.0,0.0,0.0
2010-12-30 00:00:00+00:00,10579.168891923355,1.0,0.0,0.0
2010-12-31 00:00:00+00:00,10581.345546635463,1.0,0.0,0.0
2011-01-03 00:00:00+00:00,10654.805057421376,1.0,0.0,0.0
2011-01-04 00:00:00+00:00,10606.115047613743,1.0,0.0,0.0
2011-01-05 00:00:00+00:00,10652.971623311174,1.0,0.0,0.0
2011-01-06 00:00:00+00:00,10597.906259711495,1.0,0.0,0.0
2011-01-07 00:00:00+00:00,10595.38600094095,0.9999999999999999,0.5000000000000001,0.0
2011-01-10 00:00:00+00:00,10588.61718478035,1.0,1.1102230246251565e-16,0.0
2011-01-11 00:00:00+00:00,10637.534831120889,1.0,0.0,0.0
2011-01-12 00:00:00+00:00,10725.963363501034,1.0,0.0,0.0
2011-01-13 00:00:00+00:00,10680.295766735171,1.0,0.5,0.0
2011-01-14 00:00:00+00:00,10746.400192881862,1.0,0.5,0.0
2011-01-18 00:00:00+00:00,10793.458795355402,1.0,0.0,0.0
2011-01-19 00:00:00+00:00,10685.936567609484,1.0,0.0,0.0
2011-01-20 00:00:00+00:00,10644.777294004509,1.0,0.0,0.0
2011-01-21 00:00:00+00:00,10678.133986906845,1.0,0.5,0.0
2011-01-24 00:00:00+00:00,10728.431017910447,1.0,0.0,0.0
2011-01-25 00:00:00+00:00,10718.190849081082,1.0,0.5,0.0
2011-01-26 00:00:00+00:00,10817.468238567428,1.0,0.0,0.0
2011-01-27 00:00:00+00:00,10841.873987706296,1.0,0.0,0.0
2011-01-28 00:00:00+00:00,10626.563861409804,1.0,0.0,0.0
2011-01-31 00:00:00+00:00,10755.361717311287,1.0,0.0,0.0
2011-02-01 00:00:00+00:00,10914.283661208792,1.0,0.0,0.0
2011-02-02 00:00:00+00:00,10900.358364064767,1.0,0.0,0.0
2011-02-03 00:00:00+00:00,10939.394395054867,1.0,0.0,0.0
2011-02-04 00:00:00+00:00,10978.372347281009,1.0,0.0,0.0
2011-02-07 00:00:00+00:00,11048.14248456472,1.0,0.0,0.0
2011-02-08 00:00:00+00:00,11101.885647108113,1.0,0.0,0.0
2011-02-09 00:00:00+00:00,11079.445313009108,0.9999999999999999,1.1102230246251565e-16,0.0
2011-02-10 00:00:00+00:00,11113.756448112892,1.0,1.1102230246251565e-16,0.0
2011-02-11 00:00:00+00:00,11176.991796830955,1.0,0.0,0.0
2011-02-14 00:00:00+00:00,11228.355670809817,1.0,0.0,0.0
2011-02-15 00:00:00+00:00,11181.821369886837,1.0,0.0,0.0
2011-02-16 00:00:00+00:00,11270.766856102071,1.0,0.0,0.0
2011-02-17 00:00:00+00:00,11311.216622476859,1.0,0.0,0.0
2011-02-18 00:00:00+00:00,11341.20437867753,1.0,0.0,0.0
2011-02-22 00:00:00+00:00,11094.270863663647,1.0,0.0,0.0
2011-02-23 00:00:00+00:00,11028.703279329176,1.0,0.0,0.0
2011-02-24 00:00:00+00:00,11031.69930067206,1.0,0.0,0.0
2011-02-25 00:00:00+00:00,11163.831391425187,1.0,0.0,0.0
2011-02-28 00:00:00+00:00,11231.97517403937,1.0,0.0,0.0
2011-03-01 00:00:00+00:00,11012.125671921644,1.0,0.0,0.0
2011-03-02 00:00:00+00:00,11069.112910360824,1.0,0.0,0.0
2011-03-03 00:00:00+00:00,11277.0418434216,1.0,0.0,0.0
2011-03-04 00:00:00+00:00,11182.958678854795,1.0,0.0,0.0
2011-03-07 00:00:00+00:00,11073.740646799315,1.0,0.0,0.0
2011-03-08 00:00:00+00:00,11139.65584157858,1.0,0.0,0.0
2011-03-09 00:00:00+00:00,11109.275129730078,1.0,0.0,0.0
2011-03-10 00:00:00+00:00,10887.505508571527,1.0,0.5,0.0
2011-03-11 00:00:00+00:00,10985.673384046539,1.0,0.0,0.0
2011-03-14 00:00:00+00:00,10924.252750517539,1.0,0.0,0.0
2011-03-15 00:00:00+00:00,10831.365923963484,1.0,0.0,0.0
2011-03-16 00:00:00+00:00,10652.712052269253,1.0,0.0,0.0
2011-03-17 00:00:00+00:00,10821.628478610188,1.0,0.5,0.0
2011-03-18 00:00:00+00:00,10837.660985885424,1.0,0.0,0.0
2011-03-21 00:00:00+00:00,11067.96200064957,1.0,0.0,0.0
