model,label,period,start,end_exclusive,return_pct,cagr_pct,max_mark_close_drawdown_pct,completed_episodes,fees,funding_cashflow
btc_slow_risk30_cap15,Медленный тренд BTC,full,2021-01-01,2026-09-01,5.741021294238879,0.9903356633222282,-20.20342218821002,69,233.505461606082,-1005.7696580479941
btc_slow_risk30_cap15,Медленный тренд BTC,later,2025-01-01,2026-09-01,-10.476365154023348,-6.432063501921748,-17.09620093283073,23,80.57086757817501,-44.387983374160406
btc_slow_risk30_cap15,Медленный тренд BTC,validation,2024-01-01,2025-01-01,17.099109957328174,17.06123872369836,-13.669444649245644,10,39.12829194034,-330.32823306688067
multi_risk30_cap15,Три стратегии · основной опыт,full,2021-01-01,2026-09-01,7.9106896574348,1.3530964140193946,-31.6675537541662,271,1253.2837351348126,-982.5942693185847
multi_risk30_cap15,Три стратегии · основной опыт,later,2025-01-01,2026-09-01,4.835316026323699,2.8773440185828614,-10.354056547949163,80,389.4890848797295,-32.78689567492717
multi_risk30_cap15,Три стратегии · основной опыт,validation,2024-01-01,2025-01-01,5.690100163983813,5.6781151871101665,-17.985297593626548,48,221.25183880581102,-280.77154588179513
multi_risk30_cap2,Три стратегии · предел 2×,full,2021-01-01,2026-09-01,9.065842685114212,1.543789895706782,-33.129072442917085,272,1373.1754747753355,-972.1984164921877
multi_risk30_cap2,Три стратегии · предел 2×,later,2025-01-01,2026-09-01,8.724951089836486,5.153666672077151,-10.337765495125673,79,434.015919728337,-33.119033078004065
multi_risk30_cap2,Три стратегии · предел 2×,validation,2024-01-01,2025-01-01,6.333917090472285,6.320535957630158,-17.174075740983852,48,248.4300674766955,-284.2582878230983
multi_risk20_cap15,Три стратегии · меньший риск,full,2021-01-01,2026-09-01,6.535267063969519,1.1238358546562965,-23.2140394162478,260,925.3588263877125,-639.5884279022495
multi_risk20_cap15,Три стратегии · меньший риск,later,2025-01-01,2026-09-01,6.172298331049109,3.6635274680325125,-7.001699066781086,76,294.676050443429,-20.290316451713792
multi_risk20_cap15,Три стратегии · меньший риск,validation,2024-01-01,2025-01-01,3.844236973314774,3.836210237016302,-11.9563883849378,46,172.932975360128,-186.85416444848607
multi_risk30_no_refresh,Три стратегии · без переоценки,full,2021-01-01,2026-09-01,23.58097509060657,3.8084336647233874,-29.98065462822409,210,1043.8719816635576,-1134.2849154928242
multi_risk30_no_refresh,Три стратегии · без переоценки,later,2025-01-01,2026-09-01,11.646436804770888,6.842079385216726,-10.433308829824718,59,299.7640015695605,-34.94829204634011
multi_risk30_no_refresh,Три стратегии · без переоценки,validation,2024-01-01,2025-01-01,6.022919552919981,6.010213835227329,-20.339159600865877,36,174.06115105619452,-336.41076196479696
runner720_15,"Длительное удержание · 1,5×",full,2021-01-01,2026-09-01,107.51472481222662,13.754894150243068,-36.496944629662444,47,989.1648821597715,-179.8341090026274
runner720_15,"Длительное удержание · 1,5×",later,2025-01-01,2026-09-01,73.46749611939649,39.22201615988092,-12.61470915280638,11,233.61443033567951,-3.0994053559030865
runner720_15,"Длительное удержание · 1,5×",validation,2024-01-01,2025-01-01,-18.334463478400576,-18.30056221664711,-27.487476871335005,10,127.3307213034635,10.319770814382974
runner720_risk30,Длительное удержание · по риску,full,2021-01-01,2026-09-01,94.03770100736043,12.414374666219752,-35.00287912900575,47,884.9173605395071,-119.13882076855523
runner720_risk30,Длительное удержание · по риску,later,2025-01-01,2026-09-01,60.16897872079201,32.708413951275084,-11.037073267038311,11,188.3325189047215,-2.7086127791293637
runner720_risk30,Длительное удержание · по риску,validation,2024-01-01,2025-01-01,-17.58161645311973,-17.54895310432505,-26.642789974483406,10,126.155268277529,11.175240441584572
runner720_trail15,Длительное удержание · trailing,full,2021-01-01,2026-09-01,60.807338682342426,8.747708540792631,-40.13416100645003,53,1038.532404199901,-220.02915125593202
runner720_trail15,Длительное удержание · trailing,later,2025-01-01,2026-09-01,43.185889040657784,24.06678231760764,-13.230166880477089,12,229.49696765742152,-0.16625880378728614
runner720_trail15,Длительное удержание · trailing,validation,2024-01-01,2025-01-01,-14.97325532338537,-14.944988932036086,-22.882563591402814,10,131.840304474393,9.170679547907653
runner168_trail15,Недельное удержание · trailing,full,2021-01-01,2026-09-01,69.37841202529074,9.749198145754189,-40.83187840452537,107,2339.532793667288,-99.37358662378603
runner168_trail15,Недельное удержание · trailing,later,2025-01-01,2026-09-01,36.53201791507858,20.570426388348228,-12.1183710511932,33,620.6293517437355,9.131767488578138
runner168_trail15,Недельное удержание · trailing,validation,2024-01-01,2025-01-01,-16.82572767463344,-16.79432139437712,-26.407184167393993,16,200.91773122862702,11.501035481271067
runner720_1x,Длительное удержание · 1×,full,2021-01-01,2026-09-01,71.28521101693511,9.966305224137795,-25.85890406965321,47,608.383180280452,-132.80996205614633
runner720_1x,Длительное удержание · 1×,later,2025-01-01,2026-09-01,45.826607827401425,25.436325918822856,-8.683053431537868,11,138.24295000777602,-2.8921097361087957
runner720_1x,Длительное удержание · 1×,validation,2024-01-01,2025-01-01,-12.401292621223547,-12.377522154141463,-19.03657805789969,10,89.770341395445,7.504036153108136
runner720_125x,"Длительное удержание · 1,25×",full,2021-01-01,2026-09-01,89.73042659516213,11.969770827754056,-31.37848275985907,47,794.5740083788851,-157.09072959299473
runner720_125x,"Длительное удержание · 1,25×",later,2025-01-01,2026-09-01,59.325956057584264,32.28836185909771,-10.669056227136108,11,183.733929263475,-2.454117570055482
runner720_125x,"Длительное удержание · 1,25×",validation,2024-01-01,2025-01-01,-15.44875349731587,-15.419673200662476,-23.365859227193976,10,109.155409739969,8.910507728449895
