policy,audit,period,total_return,cagr,sharpe,max_drawdown,annual_turnover,average_gross,max_gross,max_stress_gross,minimum_margin_buffer,liquidations,forced_exits,costs,funding_pnl,financing_drag,rebalance_events,average_risk_budget,final_equity
diversified_growth_k4_balanced,severe,holdout_2025,-0.033495292846559055,-0.033607684619891276,-0.3088757413820675,-0.07596465241390005,11.911211689472614,0.1325637230473243,0.5184616411574738,0.5133808998901294,0.8748284268128498,0,1,2243.3713390621924,-362.860648610016,0.0,187,0.1324275101743155,9665.047071534409
diversified_growth_k4_balanced,severe,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k4_balanced,severe,full,2.002194429338834,0.22160185662050647,0.8497869890921044,-0.269534782365935,9.42633726141618,0.09520573045969612,0.7480626195514879,0.7393964631799527,0.6835381091774106,0,1,8171.195494000676,-8120.2503831381155,0.0,766,0.09385456519323625,30021.94429338834
diversified_growth_k4_balanced,extreme,development,0.6513028160702738,0.18228876211851608,0.7577319926357738,-0.2944361639409836,9.97330274980468,0.09394463398126869,0.6404498917105896,0.5992956524857345,0.6755542227579976,0,0,4604.918677189006,-7077.690524370325,0.0,376,0.09181475886768962,16513.02816070274
diversified_growth_k4_balanced,extreme,validation_2024,0.050499632025838626,0.05053401696279902,0.8406028681959299,-0.04776991827765631,3.8722969760482475,0.04588171354354136,0.15302923171443475,0.1340227059849779,0.9346805723894637,0,0,652.0509736018896,-324.08660764891863,0.0,106,0.04543922371304224,10504.996320258386
diversified_growth_k4_balanced,extreme,holdout_2025,-0.02719822322244414,-0.027289784854811816,-0.7465356913628876,-0.041794823442641404,4.731158950001836,0.055035734392731614,0.15174195535863577,0.13785120649160745,0.9532565300198803,0,1,815.0481426263796,-109.67199394094385,0.0,153,0.05483494036371382,9728.017767775558
diversified_growth_k4_balanced,extreme,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k4_balanced,extreme,full,0.6875124331910967,0.09995773936643548,0.5752650932466749,-0.2944361639409836,7.00215526537617,0.06963135247621942,0.6404498917105896,0.5992956524857345,0.6755542227579976,0,1,6072.017793417275,-7511.449125960186,0.0,635,0.06835210267655661,16875.124331910967
diversified_growth_k4_balanced,delay_1d,development,2.3301503446428584,0.4942718517121467,1.3714463364818932,-0.24491222363191634,12.72344179657946,0.12096387984843153,0.6336675154650262,0.6121656833603363,0.6881973183493312,0,0,3076.256047006851,-3941.12393542116,0.0,443,0.11879281627261405,33301.503446428585
diversified_growth_k4_balanced,delay_1d,validation_2024,0.61056283435978,0.6110728746665537,1.6017128241566354,-0.17009590496321103,16.15113744210711,0.15850054939356947,0.9388941411986617,0.9337539744097474,0.7522088928373277,0,0,1999.6098599603824,-1171.5130631195989,0.0,194,0.15790404454251297,16105.6283435978
diversified_growth_k4_balanced,delay_1d,holdout_2025,-0.013630993395377877,-0.01367720261648242,-0.09112782798781778,-0.06972293970052157,13.655280544692337,0.145032335411333,0.6130935778914065,0.6064803649517708,0.8938433690543519,0,1,2248.3296287603052,-318.36604201664227,0.0,188,0.144913725617162,9863.690066046222
diversified_growth_k4_balanced,delay_1d,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k4_balanced,delay_1d,full,4.29030768468822,0.3543403218538015,1.1998623538573363,-0.24491222363191634,12.355499805630627,0.1212772555740984,0.9388941411986617,0.9337539744097474,0.6881973183493312,0,1,7324.195535727539,-5431.003040557401,0.0,825,0.11996239360803997,52903.0768468822
