model,period,start,return_pct,cagr_pct,max_mark_close_drawdown_pct,completed_episodes,order_fills,fees,funding_cashflow,max_gross,qualified
both_h4,full,2021-01-01,110.96452186076378,14.086476550724392,-55.37235563898516,412,1104,9530.466062261406,-5916.36013471632,1.399197093346815,True
both_h4,later,2025-01-01,-31.68973886553402,-20.46302581594893,-45.532397700172275,131,352,942.875123075589,-74.8119784898346,1.3989902694594336,True
both_h4,validation,2024-01-01,3.249747629981048,3.24298148070008,-34.953863218610714,75,198,740.609628096009,-526.5734858838673,1.156641940485378,True
both_h4,later_double_costs,2025-01-01,-41.51209239343224,-27.545185456991117,-52.2274614599616,131,352,1756.554416471532,-70.88635847575493,1.4003474730883998,True
both_h4,later_delay2,2025-01-01,-28.688033444498974,-18.381469980047505,-43.731158682796575,131,352,942.3129552226605,-72.47460483828496,1.406499363387579,True
both_h12,full,2021-01-01,53.96096235067722,7.915654838123087,-70.90248469444049,146,382,2965.571709012067,-6722.976217340344,1.4690854725128284,True
both_h12,later,2025-01-01,-31.841058656251597,-20.568916488205534,-53.80221119006874,41,104,280.26977365075504,-82.9670648924032,1.2676425558225544,True
both_h12,validation,2024-01-01,-14.43931504785223,-14.411969078763832,-39.576919992249934,30,78,257.096811214941,-551.3165171683224,1.4279649156168799,True
both_h12,later_double_costs,2025-01-01,-35.103930413940255,-22.875554662216334,-55.23283049066225,41,104,548.724361299014,-81.77884864101028,1.2686680926737188,True
both_h12,later_delay2,2025-01-01,-33.312414523502845,-21.603483375992827,-55.15871458679643,41,104,260.8354894874055,-73.1907844159069,1.3784765417714069,True
both_h24,full,2021-01-01,283.60422757903024,26.78725378307123,-57.36334483668851,69,192,1521.9061096797266,-7075.3950078603775,1.369450189423343,True
both_h24,later,2025-01-01,56.36247069321896,30.804654519949224,-28.685342644204592,20,56,230.2943241483145,-100.53339156878461,1.3692951401659343,True
both_h24,validation,2024-01-01,24.10736886122098,24.052454123364498,-27.220037985838765,12,32,124.6787414448285,-718.2520213580484,1.2158902991428273,True
both_h24,later_double_costs,2025-01-01,52.739545559163005,28.975447911872386,-29.034425042808788,20,56,455.03090199894604,-99.16339491881803,1.3707089723585748,True
both_h24,later_delay2,2025-01-01,50.449542659404024,27.81028866628612,-28.49433943415889,20,56,211.5143448539305,-89.04985635662058,1.3784079652952577,True
btc_h24,full_double_costs,2021-01-01,19.542242389814767,3.201308962206073,-58.316795953747224,33,66,530.19339422055,-2547.0907324518744,1.262773775795859,True
btc_h24,later_capital1000,2025-01-01,26.06270766053185,14.928152647463877,-22.438149675392427,9,18,8.69006416605,-7.623843608630311,1.1127653860014235,True
btc_h24,origin365,2021-01-01,-22.598475202767453,-22.612054464469523,-55.46375616134043,7,14,56.33015089179651,-1713.715413991947,1.0649024743865254,True
btc_h24,origin365,2022-01-01,1.2103648666349942,1.2111988840487031,-22.603962960100144,5,10,46.760258357882,0.30643846135570757,1.2630175258181526,True
btc_h24,origin365,2023-01-01,-8.618672652539994,-8.624313649573478,-25.014617935901164,7,14,63.659979752800005,-344.4192939611776,1.1489382808635085,True
btc_h24,origin365,2025-01-01,-1.109630665912742,-1.1103864516318507,-23.659733967546813,5,10,46.94855631705,-70.28379885423554,1.1453960028900978,True
btc_h24,origin365,2022-07-01,-30.984842118279154,-31.00236993254534,-34.10217276406243,7,14,59.960227705390004,-100.42416784248375,1.2635375622424527,True
btc_h24,origin365,2023-07-01,20.639729398853902,20.655234953349645,-21.76762565844119,5,10,54.086383415795005,-713.8074715888362,1.0332985957187728,True
btc_h24,origin365,2024-07-01,24.752682009907858,24.771581169620838,-21.196806847837944,4,8,51.237512959095,-373.0648543601383,1.146643488548649,True
ratio30_125,full_double_costs,2021-01-01,76.60323788097459,10.561468770930361,-33.169266014343535,47,188,1531.334048981816,-155.365886992624,1.788333480377058,True
ratio30_125,later_capital1000,2025-01-01,59.199228577015184,32.22514083432198,-11.090170458574288,11,44,17.936969252094002,-1.0414649817525745,1.4783175571977527,True
ratio30_125,origin365,2021-01-01,26.02984156330912,26.04981356937719,-29.19000992101418,11,44,159.605118854984,-140.18999169611868,1.7867981875140633,True
ratio30_125,origin365,2022-01-01,17.39648842314958,17.40938560294609,-7.093527805249189,6,24,77.88598363476551,-30.692648685334046,1.3846780355668369,True
ratio30_125,origin365,2023-01-01,-4.843313811802563,-4.846549431165403,-9.702385112083523,9,36,111.01691290394801,8.167870711677448,1.4414342535565772,True
ratio30_125,origin365,2025-01-01,48.843836561122586,48.8843895407117,-9.435414939265796,8,32,129.2532331746155,-8.720103596092342,1.486115517256084,True
ratio30_125,origin365,2022-07-01,4.806148515328701,4.809518320708861,-10.1383491956759,8,32,106.90565662055201,-19.687314236558432,1.4174758197268356,True
ratio30_125,origin365,2023-07-01,-20.616431437946638,-20.628983857613925,-27.766513217234824,11,44,131.6978102366695,15.227599300978497,1.5377262562201433,True
ratio30_125,origin365,2024-07-01,38.22735421642949,38.25800712928415,-9.42874120303594,9,36,131.455118580015,0.08190374299943506,1.486427118068992,True
