audit,period,total_return,cagr,sharpe,sortino,max_drawdown,calmar,worst_rolling_365,final_equity,annual_meta_turnover,average_target_leverage,maximum_target_leverage,average_close_gross,maximum_close_gross,transfer_cost,financing_cost,extra_underlying_cost,risk_reductions,scheduled_rebalances,guard_day_share,high_state_share,base_state_share,low_state_share
extreme,development_2021_2023,1.1192730823425712,0.284484813657921,1.0489197507848071,1.7941785973223614,-0.33647008092978925,0.8454980985881002,-0.2900955804346066,21192.73082342571,3.9161570357573168,1.178109589041096,2.075,1.1541049166502693,2.1450422949370314,1230.4767708496133,2395.999850028988,6207.653178581128,11,6,0.2502283105022831,0.26118721461187216,0.7388127853881279,0.0
extreme,validation_2024,0.6852523567078526,0.6828509026234897,1.7316033471832868,3.7230519750529907,-0.2165939158445852,3.152678134844113,0.056430613144401454,16852.523567078526,3.948813735522933,1.2780327868852457,2.075,1.2227213564666373,2.1168711363296158,516.532860855106,1507.8315037892494,2760.1930646360684,4,2,0.06284153005464481,0.2814207650273224,0.7185792349726776,0.0
extreme,holdout_2025,0.19070285033145828,0.19070285033145828,0.6118990434831912,1.0460993700773078,-0.22944762159203425,0.8311389283892187,-0.11919022501165133,11907.028503314583,6.48909033228867,1.2424657534246575,2.075,1.1947259708889906,2.176121838728878,1304.3093251858008,1889.1959492087926,3932.0800937479326,7,3,0.0,0.2465753424657534,0.7534246575342466,0.0
extreme,final_2026h1,-0.01985332332666201,-0.03963174378583301,-0.31964841718183146,-0.47701274983325287,-0.08679651280090017,-0.45660525413898867,-0.022907834183281905,9801.46676673338,4.4662813334341696,1.0920994475138122,2.075,1.0696384703491855,2.1175531985232223,470.3848015883116,387.31065015036177,1871.5283164368439,2,1,0.0,0.11049723756906077,0.8895027624309392,0.0
extreme,full,3.168178701777734,0.2964196219347963,0.984563118725719,1.738096724029511,-0.33647008092978925,0.8809687361077724,-0.2900955804346066,41681.78701777734,4.439647570499553,1.200279023418037,2.075,1.1663878638298546,2.176121838728878,3521.703758478832,6180.337953177392,14771.454653401972,24,12,0.14798206278026907,0.24862979571499752,0.7513702042850025,0.0
delay_1d,development_2021_2023,2.515427949680512,0.5205220894773137,1.585120657248229,2.7725283819174,-0.2482846633718191,2.096472985517454,-0.21613504850515275,35154.27949680512,5.211281067158001,1.2576301369863012,2.075,1.192095784529026,2.121858097710872,387.5812838860651,1372.990534166112,0.0,8,8,0.062100456621004566,0.26118721461187216,0.7388127853881279,0.0
delay_1d,validation_2024,0.960228906000506,0.95662742581447,2.1959747906445615,4.856836962348991,-0.16254396793661496,5.885345595768357,0.1741109661664031,19602.28906000506,3.793098304721063,1.280969945355191,2.075,1.201402111523437,2.1065198905641567,178.02761247393485,945.4473453218816,0.0,2,2,0.0,0.2814207650273224,0.7185792349726776,0.0
delay_1d,holdout_2025,0.3123498526496151,0.3123498526496151,0.8550174912751163,1.4287592461760243,-0.22121592583858718,1.411968200144527,-0.04113393129569698,13123.49852649615,6.504642662438684,1.2424657534246577,2.075,1.172756539722563,2.1529717115544673,540.1307657303065,1378.2850514328784,0.0,6,3,0.0,0.2465753424657534,0.7534246575342466,0.0
delay_1d,final_2026h1,0.03267670595831107,0.06698967127360178,0.6768308118235689,1.0310680440441615,-0.05862739066194478,1.1426343645391843,0.029311460164113567,10326.767059583111,4.489740797481163,1.0920994475138122,2.075,1.048553651276953,2.094274530289704,203.65409840793905,282.0245517096554,0.0,1,1,0.0,0.11049723756906077,0.8895027624309392,0.0
delay_1d,full,8.338970380754155,0.5012808687988206,1.44714545854028,2.5719923481200095,-0.2482846633718191,2.0189763716823967,-0.21613504850515275,93389.70380754155,5.122802393722038,1.244200298953662,2.075,1.1773305454692207,2.1529717115544673,1309.3937604982455,3978.7474826305274,0.0,17,14,0.03388141504733433,0.24862979571499752,0.7513702042850025,0.0
