open_time,net_return,equity,desired_leverage,raw_target_leverage,close_gross,meta_turnover,transfer_cost,financing_cost,extra_underlying_cost,risk_reduction,scheduled_rebalance,guard_active,guard_age_days,drawdown_open,market_state,momentum20,momentum60
2024-04-01 00:00:00+00:00,-0.019697731756670334,48383.893787224224,2.075,2.075,1.8405391247790994,0.0,0.0,8.911702802085758,0.0,0,0,False,1194,-0.019596618795684195,1,-0.007325581054248298,0.26003415371896654
2024-04-02 00:00:00+00:00,-0.015432966319932628,47637.186783978796,0.97,0.97,0.969556279256861,0.8705391247790994,42.120072550935085,0.0,0.0,1,0,False,1195,-0.038908341611979314,0,-0.010479422591422316,0.24248929571166267
2024-04-03 00:00:00+00:00,0.001829264378282014,47724.3277928443,0.97,0.97,0.9696118671857407,0.0,0.0,0.0,0.0,0,0,False,1196,-0.05374083680624986,0,-0.034431707700763536,0.22279830030742787
2024-04-04 00:00:00+00:00,0.014270691460539275,48405.38694993762,0.97,0.97,0.970039425303219,0.0,0.0,0.0,0.0,0,0,False,1197,-0.0520098786263965,0,-0.02194736888661397,0.22538017848721204
2024-04-05 00:00:00+00:00,-0.0038011851611248204,48221.389111345015,0.97,0.97,0.9699251050588462,0.0,0.0,0.0,0.0,0,0,False,1198,-0.038481404096634475,0,-0.0022319919205194827,0.2480042280654624
2024-04-06 00:00:00+00:00,0.006021916455320131,48511.77428793302,0.97,0.97,0.9701051294716108,0.0,0.0,0.0,0.0,0,0,False,1199,-0.042136314315528,0,0.017670793081220326,0.2427335987551842
2024-04-07 00:00:00+00:00,8.802525865458932e-05,48516.0445494125,0.97,0.97,0.9701077607437031,0.0,0.0,0.0,0.0,0,0,False,1200,-0.03636813922475113,0,0.013156017456196434,0.24863441896713456
2024-04-08 00:00:00+00:00,0.004026196672301863,48711.3796865306,0.97,0.97,0.9702276301600791,0.0,0.0,0.0,0.0,0,0,False,1201,-0.03628331528095863,0,0.019929456403838364,0.24027257514749145
2024-04-09 00:00:00+00:00,-0.0064426747786874294,48397.54810918912,0.97,0.97,0.9700345726571045,0.0,0.0,0.0,0.0,0,0,False,1202,-0.032403202371900974,0,0.055648712718301185,0.23240496908123331
2024-04-10 00:00:00+00:00,0.008850150651139366,48825.87370110121,0.97,0.97,0.9702974447458277,0.0,0.0,0.0,0.0,0,0,False,1203,-0.03863711385591828,0,0.014948166044232103,0.20173979321767388
2024-04-11 00:00:00+00:00,-0.0019704208650619393,48729.66618080568,0.97,0.97,0.9702388026616229,0.0,0.0,0.0,0.0,0,0,False,1204,-0.03012890748312891,0,0.03516683962926903,0.20619065730538755
2024-04-12 00:00:00+00:00,-0.009414536745126378,48270.898947968744,0.97,0.97,0.9699559518664977,0.0,0.0,0.0,0.0,0,0,False,1205,-0.03203996172024459,0,0.04080140191075965,0.19434537322971224
2024-04-13 00:00:00+00:00,-0.018265084237578666,47389.22691246045,0.97,0.97,0.9693969852236844,0.0,0.0,0.0,0.0,0,0,False,1206,-0.041152857068443294,0,0.028862072628798474,0.1642091809735644
2024-04-14 00:00:00+00:00,0.006929910149194196,47717.629997003576,0.97,0.97,0.9696076018123434,0.0,0.0,0.0,0.0,0,0,False,1207,-0.05866628090504977,0,-0.00761553329862219,0.1465979508109898
2024-04-15 00:00:00+00:00,-0.00939419095174221,47269.361469047144,0.97,0.97,0.9693193822304993,0.0,0.0,0.0,0.0,0,0,False,1208,-0.05214292281131494,0,-0.01412552091941588,0.13091869426769742
2024-04-16 00:00:00+00:00,-0.002377132610391852,47156.99592842667,0.97,0.97,0.9692462765515991,0.0,0.0,0.0,0.0,0,0,False,1209,-0.06104727318938574,0,-0.023529631462154477,0.11865540025030796
2024-04-17 00:00:00+00:00,-0.008259346040152216,46767.50998083975,0.97,0.97,0.9689901555153492,0.0,0.0,0.0,0.0,0,0,False,1210,-0.06327928833590357,0,-0.023505536667871363,0.11278294998500238
2024-04-18 00:00:00+00:00,0.01067735204072684,47266.86314897338,0.97,0.97,0.9693177605869601,0.0,0.0,0.0,0.0,0,0,False,1211,-0.07101598883651494,0,-0.038936317429577705,0.1089669393758732
2024-04-19 00:00:00+00:00,0.0017728426907845929,47350.659861823355,0.97,0.97,0.969372059108104,0.0,0.0,0.0,0.0,0,0,False,1212,-0.0610968995091159,0,-0.03221145392196212,0.11655156320978888
2024-04-20 00:00:00+00:00,0.006647503767582386,47665.42355165233,0.97,0.97,0.9695743139706156,0.0,0.0,0.0,0.0,0,0,False,1213,-0.05943237201005569,0,-0.02586693046502131,0.12093197188390192
2024-04-21 00:00:00+00:00,0.001613785829206682,47742.34533672313,0.97,0.97,0.9696233354014833,0.0,0.0,0.0,0.0,0,0,False,1214,-0.05317994515932656,0,-0.02497073322838872,0.12589656495090518
2024-04-22 00:00:00+00:00,0.01101151677828538,48268.060973433145,0.97,0.97,0.9699541853931439,0.0,0.0,0.0,0.0,0,0,False,1215,-0.051651980372015904,0,-0.012783300083195948,0.12990380618625785
2024-04-23 00:00:00+00:00,-0.0017119952487402168,48185.42628238072,0.97,0.97,0.9699026588881607,0.0,0.0,0.0,0.0,0,0,False,1216,-0.04120923024222878,0,0.013659148608849314,0.14817746817383237
2024-04-24 00:00:00+00:00,-0.005776225497737375,47907.09639446909,0.97,0.97,0.9697277998336874,0.0,0.0,0.0,0.0,0,0,False,1217,-0.042850675484590095,0,0.009964510229702794,0.1524190032613455
2024-04-25 00:00:00+00:00,0.0012292051999804876,47965.98404647314,0.97,0.97,0.9697649648960588,0.0,0.0,0.0,0.0,0,0,False,1218,-0.048379385817998055,0,-0.010612056995590757,0.1357632024128037
2024-04-26 00:00:00+00:00,-0.004910225970731985,47730.46022589643,0.97,0.97,0.9696157714680205,0.0,0.0,0.0,0.0,0,0,False,1219,-0.04720964881063694,0,-0.005460741116453782,0.13256434607581524
2024-04-27 00:00:00+00:00,-0.003930017570499711,47542.87867856062,0.97,0.97,0.969495889778879,0.0,0.0,0.0,0.0,0,0,False,1220,-0.051888064737709794,0,-0.016601972145495192,0.10228134735999794
2024-04-28 00:00:00+00:00,-0.0006685509992503391,47511.09383951283,0.97,0.97,0.9694754825822577,0.0,0.0,0.0,0.0,0,0,False,1221,-0.05561416130209107,0,-0.020676713238787503,0.0792166315648779
2024-04-29 00:00:00+00:00,0.0016344204607343649,47588.74694339601,0.97,0.97,0.9695252910700677,0.0,0.0,0.0,0.0,0,0,False,1222,-0.05624553139823041,0,-0.025396894584185814,0.03984151241664735
2024-04-30 00:00:00+00:00,-0.011153641776773582,47057.95910738384,0.97,0.97,0.9691815531538289,0.0,0.0,0.0,0.0,0,0,False,1223,-0.05470303978483804,0,-0.01722785450268549,0.05015423208967218
2024-05-01 00:00:00+00:00,-0.011128422479700029,46534.278257404425,0.97,0.97,0.9688347328947895,0.0,0.0,0.0,0.0,0,0,False,1224,-0.06524654345175096,0,-0.037316969687039014,0.02366230311058004
2024-05-02 00:00:00+00:00,0.0012273761429344443,46591.39332036624,0.97,0.97,0.968872937508691,0.0,0.0,0.0,0.0,0,0,False,1225,-0.0756488748305798,0,-0.046434331255841066,0.004894324727820809
2024-05-03 00:00:00+00:00,0.01713701284149982,47389.83062600072,0.97,0.97,0.9693973750848456,0.0,0.0,0.0,0.0,0,0,False,1226,-0.07451434831185222,0,-0.035871047935850164,0.0010876065633127485
2024-05-04 00:00:00+00:00,0.0026947652723559035,47517.5350958345,0.97,0.97,0.9694796203440416,0.0,0.0,0.0,0.0,0,0,False,1227,-0.05865428881424861,0,1.3141641871161625e-05,-0.0063621004625847855
2024-05-05 00:00:00+00:00,0.0018550296061980998,47605.681530250826,0.97,0.97,0.9695361317216172,0.0,0.0,0.0,0.0,0,0,False,1228,-0.05611758308246395,0,-0.004324751370634816,0.02211775378709513
2024-05-06 00:00:00+00:00,-0.0017223368449941212,47523.68851092022,0.97,0.97,0.9694835721535597,0.0,0.0,0.0,0.0,0,0,False,1229,-0.054366653254312225,0,0.007340170378542288,0.0040238672046972734
2024-05-07 00:00:00+00:00,-0.004362041924223625,47316.38818924184,0.97,0.97,0.9693498750234293,0.0,0.0,0.0,0.0,0,0,False,1230,-0.05599535240926745,0,0.008022724016106597,-0.006374233415692654
2024-05-08 00:00:00+00:00,9.584919297833672e-05,47320.923426864436,0.97,0.97,0.9693528125316152,0.0,0.0,0.0,0.0,0,0,False,1231,-0.060113140258720166,0,0.012111902783417117,-0.014318285610281922
2024-05-09 00:00:00+00:00,0.006258173233569364,47617.065963242225,0.97,0.97,0.9695434151159227,0.0,0.0,0.0,0.0,0,0,False,1232,-0.060023052861722936,0,0.001179927497140909,-0.01724447062580947
2024-05-10 00:00:00+00:00,-0.007139719121629806,47277.09348686856,0.97,0.97,0.9693243999476615,0.0,0.0,0.0,0.0,0,0,False,1233,-0.05414051429096989,0,0.005804003076662623,-0.011141165069215586
2024-05-11 00:00:00+00:00,0.0018152502407582372,47362.91324220294,0.97,0.97,0.9693799829409998,0.0,0.0,0.0,0.0,0,0,False,1234,-0.060893685347461535,0,-0.0084026535426589,-0.04024620501191922
2024-05-12 00:00:00+00:00,0.002183882692885719,47466.34828871724,0.97,0.97,0.9694467077471615,0.0,0.0,0.0,0.0,0,0,False,1235,-0.05918897238369103,0,-0.008196477564533011,-0.03113566426425307
2024-05-13 00:00:00+00:00,0.002986967526271256,47608.12872964632,0.97,0.97,0.9695376976550414,0.0,0.0,0.0,0.0,0,0,False,1236,-0.05713435146320356,0,-0.017124097069891597,-0.03800319905923588
2024-05-14 00:00:00+00:00,-0.00861256319753767,47198.10071224573,0.97,0.97,0.9692730599419243,0.0,0.0,0.0,0.0,0,0,False,1237,-0.05431804238938753,0,-0.012352528402068796,-0.024403361805364843
2024-05-15 00:00:00+00:00,0.013784286156717451,47848.692838516894,0.97,0.97,0.9696908499395247,0.0,0.0,0.0,0.0,0,0,False,1238,-0.06246278801408012,0,-0.015261383117016303,-0.027886089537879077
2024-05-16 00:00:00+00:00,-0.005032058812829754,47607.91540203645,0.97,0.97,0.9695375611556778,0.0,0.0,0.0,0.0,0,0,False,1239,-0.049539506801495214,0,-0.002521538538697965,0.009561473000581522
2024-05-17 00:00:00+00:00,0.005213135833440408,47856.10193177421,0.97,0.97,0.9696955424094561,0.0,0.0,0.0,0.0,0,0,False,1240,-0.05432227990254124,0,-0.0026478884120308965,-0.0063025560924335755
2024-05-18 00:00:00+00:00,-0.0005989663310106419,47827.437737983666,0.97,0.97,0.9696773801811165,0.0,0.0,0.0,0.0,0,0,False,1241,-0.04939233349301486,0,0.0067955177219625185,0.005628306967464747
2024-05-19 00:00:00+00:00,-0.0011511042677812,47772.383370286436,0.97,0.97,0.969642435459014,0.0,0.0,0.0,0.0,0,0,False,1242,-0.0499617154792531,0,0.006867957556945692,0.035904532888117346
2024-05-20 00:00:00+00:00,0.008404430996651113,48173.883069867574,0.97,0.97,0.9698954470965758,0.0,0.0,0.0,0.0,0,0,False,1243,-0.051055308603120464,0,0.003980113177453948,0.0014328014932663002
2024-05-21 00:00:00+00:00,-0.0027864039324085876,48039.651172642305,0.97,0.97,0.9698113292657277,0.0,0.0,0.0,0.0,0,0,False,1244,-0.043079968424636905,0,0.024467881919554957,0.02092071315691446
2024-05-22 00:00:00+00:00,-0.003401081580673204,47876.26439989707,0.97,0.97,0.9697083047389279,0.0,0.0,0.0,0.0,0,0,False,1245,-0.04574633416361906,0,0.033390384148334507,0.025611522368448103
2024-05-23 00:00:00+00:00,-0.007858816096030119,47500.01364261336,0.97,0.97,0.9694683622124449,0.0,0.0,0.0,0.0,0,0,False,1246,-0.048991828729785025,0,0.02846341666228258,0.02019016064055501
2024-05-24 00:00:00+00:00,0.0028186403674248517,47633.899098519665,0.97,0.97,0.9695541780352541,0.0,0.0,0.0,0.0,0,0,False,1247,-0.05646562705361957,0,0.00239843339476864,-0.0052222924126600345
2024-05-25 00:00:00+00:00,0.0025024290131747673,47753.09954963444,0.97,0.97,0.9696301763630483,0.0,0.0,0.0,0.0,0,0,False,1248,-0.05380614298197994,0,0.002525957641199339,-0.015909675580016658
2024-05-26 00:00:00+00:00,-0.004100128499466726,47557.30570523311,0.97,0.97,0.9695051435329606,0.0,0.0,0.0,0.0,0,0,False,1249,-0.051438360022090235,0,0.0031939475973521425,-0.013220484911959818
2024-05-27 00:00:00+00:00,0.002695774696072739,47685.509486566676,0.97,0.97,0.9695871297789375,0.0,0.0,0.0,0.0,0,0,False,1250,-0.05532758463566456,0,0.0007296437544626055,-0.014953181863468168
2024-05-28 00:00:00+00:00,-0.003531853310966171,47517.091262001435,0.97,0.97,0.9694793352681514,0.0,0.0,0.0,0.0,0,0,False,1251,-0.052780960642247465,0,0.008047795993787021,-0.01946788424393253
