name,family,carry_budget,convex_budget,contango_threshold,crisis_threshold,spike_threshold,confirm_days,hold_days,worst_up_shock_return,worst_down_shock_return,worst_synthetic_overnight_return,max_synthetic_gain,prefinal_cagr,prefinal_total_return,prefinal_max_drawdown,prefinal_sharpe,annual_turnover,liquidations,min_margin_buffer,validation_2011_2014_return,validation_2015_2018_return,bridge_2019_2020_return,gate_prefinal_cagr,gate_prefinal_sharpe,gate_prefinal_drawdown,gate_turnover,gate_validation_2011_2014,gate_validation_2015_2018,gate_bridge_2019_2020,gate_synthetic_shock,gate_zero_liquidations,gate_positive_margin,eligible_before_stress,stress_prefinal_cagr,stress_prefinal_max_drawdown,stress_liquidations,stress_min_margin_buffer,gate_stress_cagr,gate_stress_drawdown,gate_stress_zero_liquidations,gate_stress_positive_margin,eligible_before_2021,score
carry_b08_c02_q3_h7,carry_only,0.08,0.0,0.02,0.0,0.15,3,7,-0.02,0.0,-0.02,0.006000000000000002,-0.0028607435113472413,-0.0420425919052867,-0.06374447280010098,-0.5178764663174583,2.606135731132467,0,0.8503763688634319,-0.016332542372483938,-0.03250523979044406,0.005731902357047236,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.5865315470515279
switch_ca08_cv08_c02_s20_h3,carry_convex_switch,0.08,0.08,0.02,0.0,0.2,2,3,-0.02,-0.04,-0.04,0.08,-0.01991637023415005,-0.2603774901450888,-0.3303695355014853,-0.3190462102180722,5.71752579083586,0,0.8503763688634317,-0.10102504482489372,-0.08511850731458914,-0.028449214398678313,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5912389763454736
switch_ca08_cv08_c04_s20_h3,carry_convex_switch,0.08,0.08,0.04,0.0,0.2,2,3,-0.02,-0.04,-0.04,0.08,-0.020065005173408257,-0.26205741278074723,-0.3328821583146736,-0.32206297627392677,5.33022053733926,0,0.8503763688634318,-0.10154634818316222,-0.08632388083587061,-0.02600738051277629,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5919362711514727
switch_ca08_cv04_c06_s20_h3,carry_convex_switch,0.08,0.04,0.06,0.0,0.2,2,3,-0.02,-0.02,-0.02,0.04,-0.012632360350004479,-0.17353739071980845,-0.20057375585438264,-0.4293372001249392,3.4999013728807893,0,0.862650960341057,-0.06220492078126705,-0.053604818562106527,-0.007984335942843424,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5948878124809474
defensive_ca04_cv10_c05_b00_h3,defensive_switch,0.04,0.1,0.05,0.0,0.15,2,3,-0.01,-0.05,-0.05,0.1,-0.024227761744477827,-0.3076849311709866,-0.3613585721309067,-0.3081458113617347,4.546300295236498,0,0.8440944881889765,-0.09588837180533893,-0.08114456466140707,-0.04370142983279701,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5952436238685086
defensive_ca04_cv10_c03_b00_h3,defensive_switch,0.04,0.1,0.03,0.0,0.15,2,3,-0.01,-0.05,-0.05,0.1,-0.024276940515878254,-0.3082078833790638,-0.36058396175045304,-0.3087817581139951,4.773058158230757,0,0.8440944881889764,-0.09330814917257413,-0.08231912876707981,-0.04422669719484851,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5978582016032857
carry_b12_c02_q3_h7,carry_only,0.12,0.0,0.02,0.0,0.15,3,7,-0.03,0.0,-0.03,0.009000000000000001,-0.004302553739687243,-0.06260113907081577,-0.09419502553569192,-0.5182738009149648,3.9103483367545913,0,0.8255645532951478,-0.02444690639785574,-0.048421396299605846,0.00857602709733385,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.620579904529731
switch_ca08_cv08_c06_s20_h3,carry_convex_switch,0.08,0.08,0.06,0.0,0.2,2,3,-0.02,-0.04,-0.04,0.08,-0.02229716222102196,-0.2868615475176879,-0.3345410167704713,-0.36868377964195764,4.794960815285309,0,0.8552755905511811,-0.10170032018583308,-0.08459114184340866,-0.022167632380375557,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.6384982206220903
switch_ca04_cv04_c06_s10_h3,carry_convex_switch,0.04,0.04,0.06,0.0,0.1,2,3,-0.01,-0.02,-0.02,0.04,-0.015198590668180634,-0.20516322535863285,-0.22989743744815838,-0.4797457634865948,2.5634478194143804,0,0.8776377952755906,-0.05832818787853267,-0.03643252670461006,-0.013570601615240374,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.655726141741179
switch_ca04_cv04_c04_s10_h3,carry_convex_switch,0.04,0.04,0.04,0.0,0.1,2,3,-0.01,-0.02,-0.02,0.04,-0.015254509012341488,-0.20583960917027166,-0.22994479010630697,-0.4812277933582608,2.845885756425321,0,0.8776377952755906,-0.05883674730108568,-0.03744862727527576,-0.013790972882911978,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.6601680640003506
