date,equity,daily_return,gross,net,turnover,trading_cost,forced_cost,overnight_pnl,intraday_pnl,min_margin_buffer,liquidated_notional
2017-05-30,1503.1087761811248,-0.0002832675508001037,0.03299616323683293,0.03299616323683293,0.00013427790896884673,0.006057165476731165,0.0,0.10443388752983737,-0.5242793080506191,0.7830543933054392,0.0
2017-05-31,1503.0957583922705,-8.660576706454037e-06,0.03326534918067374,0.03326534918067374,0.0002697172619047575,0.012163279946774162,0.0,0.104855861610125,-0.10571037051778122,0.7830520393811533,0.0
2017-06-01,1501.425026847974,-0.0011115270168039482,0.019625420440614064,0.019625420440614064,0.026666666666666672,1.2025611750102307,0.0,0.10571037051777814,-0.5738807398038003,0.7897601896902547,0.0
2017-06-02,1500.0355918240195,-0.0009254108590899257,0.026783529229821794,8.467029718858551e-05,0.03319215991094953,1.495044879586892,0.0,-0.02139860372074298,0.12700845935319544,0.7862964556728705,0.0
2017-06-05,1499.579208550131,-0.00030424829675779197,0.033625181561609485,-0.00021841569353826394,0.006500997650259245,0.2925837683978529,0.0,0.1637321273603935,-0.3275316328510347,0.782703886152162,0.0
2017-06-06,1499.5387180785108,-2.700122233578739e-05,0.03389125003817918,3.609668155381465e-05,0.00028216515044816523,0.012693176292640758,0.0,-0.08192566691156367,0.054128371584093005,0.7826429278242255,0.0
2017-06-07,1499.5255798883654,-8.761487774178178e-06,0.033011425781746505,-2.271677728113857e-06,0.0006117852163545455,0.027522195090065798,0.0,0.017790443807360994,-0.0034064388625685282,0.7826615132151846,0.0
2017-06-08,1499.643721976216,7.87863104405595e-05,0.03271343369488633,0.00015547109395416085,0.0003173638805804811,0.01427589863890973,0.0,-0.1007332635074435,0.23315124999713338,0.7830183175632458,0.0
2017-06-09,1499.5033997322253,-9.357038737567436e-05,0.033540874189496944,-7.2961905730638884e-06,0.0006154757159185058,0.0276879511033824,0.0,-0.10169363031789914,-0.010940662569404402,0.7813736766809729,0.0
2017-06-12,1499.3771703431698,-8.418079550731594e-05,0.03374208111744094,5.6025229792087824e-05,0.0001478513855105619,0.006650206659833748,0.0,-0.20358213290910498,0.08400295051348777,0.7819503546099289,0.0
2017-06-13,1499.5210712186556,9.59737671961669e-05,0.03221346611205547,7.814343627324918e-05,0.00036565219952501907,0.01644799037623891,0.0,0.0431711365930074,0.11717772926916892,0.7828672168216891,0.0
2017-06-14,1498.1332082064532,-0.0009255375191723481,0.0,0.0,0.03221078580029232,1.449081717919975,0.0,0.0612187057176134,0.0,0.7999999999999999,0.0
2017-06-15,1498.1332082064532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,0.0
2017-06-16,1498.1332082064532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,0.0
2017-06-19,1497.644668374209,-0.0003260990608632275,0.019516504190877793,0.0002739902871120299,0.02,0.8988799249238719,0.0,0.0,0.4103400926796513,0.7897703630124616,0.0
2017-06-20,1497.2130774668842,-0.00028817977751249835,0.020238342745626373,-0.0002741925391629144,0.0005260496157191256,0.023635102608748616,0.0,0.0025688506625751173,-0.41052465537856514,0.7893367102106105,0.0
2017-06-21,1495.467923888556,-0.0011656013459893089,0.02011941796441474,2.9246472336685122e-05,0.04029830354648316,1.8100800288580612,0.0,0.02118928926337401,0.043737161266405034,0.7895827662106352,0.0
2017-06-22,1495.590441701681,8.19260722131343e-05,0.019754494263497194,0.00012581664768745413,0.00012121652075789378,0.00543804359005667,0.0,-0.06021431897341782,0.18817017568830352,0.7898379866803278,0.0
2017-06-23,1495.5877977911287,-1.7678038576329769e-06,0.019820563466092785,2.9480262963944977e-05,0.00022843994307954543,0.010249327822895522,0.0,-0.0364849042937617,0.04409032156454927,0.7897456761006287,0.0
2017-06-26,1495.5975235354722,6.502957805576415e-06,0.019616073911526935,-4.2628920512849634e-06,0.00020453453809925713,0.00917713589173197,0.0,0.02527845103034059,-0.006375570795001062,0.7896833436979679,0.0
2017-06-27,1494.948092917347,-0.00043422819836591575,0.006853582979323737,-2.78677270670986e-05,0.0129748029228449,0.5821425183202115,0.0,-0.02562729437206963,-0.04166080543290035,0.7964413043327532,0.0
2017-06-28,1495.005158970791,3.817259857674671e-05,0.006508717166216267,4.984131412353787e-05,0.00019545573095036163,0.008765834263698313,0.0,-0.008681134036919932,0.0745130217445729,0.7964988099445443,0.0
2017-06-29,1494.9076114456798,-6.524895551418552e-05,0.0068158444904476865,-6.586770362158458e-05,0.0001662155341299043,0.0074548341846356605,0.0,0.008373440565891354,-0.09846613149235514,0.795749340620637,0.0
2017-06-30,1494.6199978957286,-0.0001923955351815776,0.0,0.0,0.006842959227384668,0.30689171260532433,0.0,0.01927816265413839,0.0,0.8,0.0
2017-07-03,1494.6199978957286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2017-07-05,1494.6199978957286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2017-07-06,1494.6199978957286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2017-07-07,1491.313795383142,-0.0022120689655172887,0.03215906911322805,0.03215906911322805,0.03333333333333333,1.4946199978957284,0.0,0.0,-1.8115825146908613,0.7825031928480205,0.0
