strategy_id,period,transition,days,compound_return,log_return_contribution,dollar_pnl,mean_daily_return,annualized_sharpe,positive_day_rate,negative_day_rate,worst_day,return_q05,turnover,average_daily_turnover,log_return_per_turnover,costs,funding_pnl,price_pnl,average_gross,max_gross,max_stress_gross,rebalance_events,risk_reductions,forced_exits,novelty_days,novelty_share,state_entry_days
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,transition->deleveraging,13,-0.003279779671393841,-0.0032851699378915232,-54.93182654341217,-0.000250699916604134,-2.3161284691330817,0.38461538461538464,0.6153846153846154,-0.003150639648634157,-0.002862781002266468,0.0,0.0,,0.0,0.862566495472182,-55.79439303884186,0.49088847345666664,0.5769662512326523,0.5793626699834153,0,0,0,0,0.0,13
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,transition->transition,99,0.0360814245515857,0.03544573587586937,594.9448822764716,0.0003624021990628505,2.3473094466972135,0.5757575757575758,0.42424242424242425,-0.009081671975413097,-0.003519177488495373,0.7236372063470243,0.007309466730778024,0.04898274379063805,36.7680127049199,4.234562725475935,627.4783322559059,0.49682952067475866,0.5760870962516347,0.5767066987859153,1,0,0,2,0.020202020202020204,0
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,transition->transition_2,3,0.003938146391262189,0.003930412191719452,67.11336060668327,0.0013161087207347693,6.418188537097497,0.6666666666666666,0.3333333333333333,-0.0029014297905235464,-0.0024104769900526236,0.0,0.0,,0.0,0.007268237327236582,67.10609236932622,0.5436076385744405,0.5641195547176924,0.5662622139257996,0,0,0,1,0.3333333333333333,3
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,transition_2->transition,3,-0.004683269180727037,-0.004694270045950128,-79.05886354352697,-0.0015623974297608312,-16.18258492255745,0.3333333333333333,0.6666666666666666,-0.0032924184127496314,-0.0031405084489194547,0.0,0.0,,0.0,-0.5696888584146229,-78.4891746851321,0.5215852855410344,0.5464782243412954,0.5475417629099595,0,0,0,0,0.0,3
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,transition_2->transition_2,5,-0.003906989258877549,-0.003914641479343699,-65.8977241006105,-0.0007805596953581739,-6.568919184237922,0.4,0.6,-0.003514835514301984,-0.0032214722635373503,0.4605251517509933,0.09210503035019865,-0.008500385840946104,23.4367960623778,-0.008838074658782412,-42.45208996356364,0.5289067028311921,0.5585193925444013,0.5603784236395283,1,0,0,0,0.0,0
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,deleveraging->deleveraging,121,-0.0683577776977693,-0.07080641964793587,-1198.03846245338,-0.0005765359020083506,-2.6632609766129605,0.4462809917355372,0.5537190082644629,-0.009905376708962299,-0.006367328355813551,1.2790857899813761,0.010570956941994844,-0.05535705282830703,65.23114749434728,-17.61937456964088,-1115.1879403895834,0.45806137398203606,0.5308817392676413,0.5326718443541208,4,0,0,17,0.14049586776859505,0
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,deleveraging->transition,8,-0.011207560072940775,-0.011270838012774204,-189.9359106414413,-0.001398907492775131,-5.915366615153609,0.5,0.5,-0.008858205378966866,-0.00813828463221546,0.0,0.0,,0.0,-3.2427927598982422,-186.69311788159024,0.4804406570631056,0.5182809483476322,0.5206184119486766,0,0,0,0,0.0,8
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,deleveraging->transition_2,1,0.0014949248633611134,0.0014938085755600086,25.350808663963107,0.0014949248633611134,0.0,1.0,0.0,0.0014949248633611134,0.0014949248633611134,0.0,0.0,,0.0,-0.7773289385078285,26.12813760248075,0.5032659268245524,0.5158305563787392,0.5155883783674774,0,0,0,0,0.0,1
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,rotation->transition_2,1,-0.00047667745593138466,-0.0004767911027465661,-8.02515882636726,-0.00047667745593138466,0.0,0.0,1.0,-0.00047667745593138466,-0.00047667745593138466,0.0,0.0,,0.0,-0.2202703533286868,-7.804888473036816,0.4834086244294911,0.486853237686714,0.488049821876076,0,0,0,0,0.0,1
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,transition->deleveraging,6,-0.00590756223516171,-0.005925080910124781,-96.99602934954964,-0.0009810729692026898,-4.955449081550367,0.16666666666666666,0.8333333333333334,-0.005392812354532817,-0.004595938431190716,0.0,0.0,,0.0,-3.007600410091519,-93.98842893941708,0.47345747962048956,0.521093623041293,0.5266587377422413,0,0,0,0,0.0,6
