strategy_id,period,state_label,duration_bucket,days,compound_return,log_return_contribution,dollar_pnl,mean_daily_return,annualized_sharpe,positive_day_rate,negative_day_rate,worst_day,return_q05,turnover,average_daily_turnover,log_return_per_turnover,costs,funding_pnl,price_pnl,average_gross,max_gross,max_stress_gross,rebalance_events,risk_reductions,forced_exits,novelty_days,novelty_share,state_entry_days
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,transition_2,1-2,13,-0.0032407452886840226,-0.003246007876577573,-44.008515983274265,-0.0002447719871551038,-1.4364226251687986,0.46153846153846156,0.5384615384615384,-0.005526562227093024,-0.004116365297410684,0.0,0.0,,0.0,-14.46732516679123,-29.541190816416716,0.5070659170187111,0.5921838596704944,0.5928395549547264,0,0,0,1,0.07692307692307693,8
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,transition_2,11-20,11,0.018092324058197475,0.017930605625326945,295.6269202048661,0.0016411292004289853,6.760928093183725,0.5454545454545454,0.45454545454545453,-0.006349415384877988,-0.004254758261882874,0.3970832743616622,0.03609847948742383,0.045155781628303505,20.27269847330267,-19.909844565205656,335.8094632433599,0.5111739189346362,0.5648552766808612,0.5666833516363424,1,0,0,0,0.0,0
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,transition_2,3-5,15,0.022032570979804735,0.021793361116933193,393.938869308613,0.0014759700699976896,4.080334679209608,0.6666666666666666,0.3333333333333333,-0.005571992072291199,-0.005373966117785544,0.8063915610814069,0.05375943740542712,0.027025780239698104,41.14733599769199,-18.070586635282897,453.1567919415873,0.5081376323862646,0.6012651739009163,0.600733208650011,1,1,0,0,0.0,0
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,transition_2,6-10,22,-0.02388974145689375,-0.0241797291308976,-442.0050898510344,-0.0010708365644141913,-2.704852824640477,0.4090909090909091,0.5909090909090909,-0.028820706434144028,-0.008764581964576046,0.1063740975926077,0.004835186254209441,-0.2273084301358899,5.811079087038844,-30.975027160504887,-405.2189836034581,0.49732143164329384,0.6063583290249457,0.6055236437271192,0,1,0,1,0.045454545454545456,0
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,calm_risk_on,1-2,4,0.0014250421017567643,0.0014240276928634376,-0.9696547001258295,0.0003807171228115136,0.8947479543802856,0.25,0.75,-0.005225727251737755,-0.004890123965173654,0.6419462837416319,0.16048657093540797,0.0022182972764689685,21.76492922647919,1.0483547061776948,19.74691982016496,0.33776196393478164,0.3445825674583662,,2,0,0,4,1.0,2
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,calm_risk_on,11-20,20,0.03377274325393825,0.03321496784307511,378.6510685917401,0.001688891961736183,4.290371027635879,0.65,0.35,-0.0123969362127756,-0.007723814087996838,0.6962756738381564,0.03481378369190782,0.047703760293650095,24.329177070337042,-8.764920912619258,411.74516657469275,0.387510512173825,0.4528299118787098,,2,0,0,2,0.1,0
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,calm_risk_on,21-40,40,0.2685675206143254,0.23788832734720478,2912.701606137225,0.0061396325333373525,6.117583600174787,0.55,0.45,-0.04512819330955098,-0.009625920493000378,1.9559063928703675,0.048897659821759185,0.12162561982227306,70.61528432404941,44.1625155397153,2939.1543749215725,0.3479031559032602,0.5161614191084143,,6,0,0,4,0.1,0
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,calm_risk_on,3-5,6,0.02071384433444885,0.020502229903910554,216.14175116738625,0.0034325101640617826,13.59351656081798,0.8333333333333334,0.16666666666666666,-0.00058514446618807,-0.0004039617414182961,0.0,0.0,,0.0,2.539727041463051,213.60202412592295,0.3498230353095501,0.3865220517382554,,0,0,0,3,0.5,0
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,calm_risk_on,41+,26,0.07227074916074039,0.06977859527517825,864.0005914952162,0.002744504046242431,4.793760327480573,0.5769230769230769,0.4230769230769231,-0.024518818017064903,-0.007159534267804413,1.308872368999288,0.05034124496151108,0.05331199353572434,49.32677359953895,-25.371452541827498,938.6988176365824,0.30219001064317763,0.5289543004468745,,4,0,0,1,0.038461538461538464,0
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,calm_risk_on,6-10,10,0.0067454801366670794,0.00672283118053745,90.03500517743305,0.0006961907085651919,1.8342281426212244,0.7,0.3,-0.014146956057096705,-0.009837292063170761,0.6626691480371858,0.06626691480371857,0.01014507948717751,21.618749786485928,-0.14850877386579794,111.8022637378022,0.3597638666270799,0.4317469923005267,,2,0,0,4,0.4,0
